year,artist,track,time,date.entered,week,rank
2000,2Ge+her,The Hardest Part Of ...,3:15,2000-09-02,wk1,91.0
2000,2 Pac,Baby Don't Cry,4:22,2000-02-26,wk1,87.0
2000,3 Doors Down,Kryptonite,3:53,2000-04-08,wk1,81.0
2000,3 Doors Down,Loser,4:24,2000-10-21,wk1,76.0
2000,504 Boyz,Wobble Wobble,3:35,2000-04-15,wk1,57.0
2000,98?,Give Me Just One Nig...,3:24,2000-08-19,wk1,51.0
2000,Aaliyah,I Don't Wanna,4:15,2000-01-29,wk1,84.0
2000,Aaliyah,Try Again,4:03,2000-03-18,wk1,59.0
2000,"Adams, Yolanda",Open My Heart,5:30,2000-08-26,wk1,76.0
2000,"Adkins, Trace",More,3:05,2000-04-29,wk1,84.0
2000,"Aguilera, Christina",Come On Over Baby,3:38,2000-08-05,wk1,57.0
2000,"Aguilera, Christina",I Turn To You,4:00,2000-04-15,wk1,50.0
2000,"Aguilera, Christina",What A Girl Wants,3:18,1999-11-27,wk1,71.0
2000,Alice Deejay,Better Off Alone,6:50,2000-04-08,wk1,79.0
2000,"Allan, Gary",Smoke Rings In The D...,4:18,2000-01-22,wk1,80.0
2000,Amber,Sexual,4:38,1999-07-17,wk1,99.0
2000,Anastacia,I'm Outta Love,4:01,2000-04-01,wk1,92.0
2000,"Anthony, Marc",My Baby You,3:59,2000-09-16,wk1,82.0
2000,"Anthony, Marc",You Sang To Me,3:50,2000-02-26,wk1,77.0
2000,A*Teens,Dancing Queen,3:44,2000-07-08,wk1,97.0
2000,Avant,My First Love,4:28,2000-11-04,wk1,70.0
2000,Avant,Separated,4:13,2000-04-29,wk1,62.0
2000,"Backstreet Boys, The",Shape Of My Heart,3:49,2000-10-14,wk1,39.0
2000,"Backstreet Boys, The",Show Me The Meaning ...,3:54,2000-01-01,wk1,74.0
2000,"Backstreet Boys, The",The One,3:46,2000-05-27,wk1,58.0
2000,"Badu, Erkyah",Bag Lady,5:03,2000-08-19,wk1,67.0
2000,Baha Men,Who Let The Dogs Out,3:17,2000-07-22,wk1,99.0
2000,Barenaked Ladies,Pinch Me,3:46,2000-09-09,wk1,77.0
2000,BBMak,Back Here,3:35,2000-04-29,wk1,99.0
2000,Beenie Man,Girls Dem Sugar,4:17,2000-10-21,wk1,72.0
2000,Before Dark,Monica,4:04,2000-05-20,wk1,95.0
2000,"Bega, Lou",Tricky Tricky ,3:23,2000-01-29,wk1,75.0
2000,Big Punisher,It's So Hard,3:25,2000-04-22,wk1,96.0
2000,"Black, Clint",Been There,5:28,2000-02-19,wk1,87.0
2000,Black Rob,Whoa!,4:04,2000-03-04,wk1,78.0
2000,Blaque,Bring It All To Me,3:46,1999-10-23,wk1,73.0
