,Athlete,NOC,Medal,Edition
0,"HAJOS, Alfred",HUN,Gold,1896
1,"HERSCHMANN, Otto",AUT,Silver,1896
2,"DRIVAS, Dimitrios",GRE,Bronze,1896
3,"MALOKINIS, Ioannis",GRE,Gold,1896
4,"CHASAPIS, Spiridon",GRE,Silver,1896
5,"CHOROPHAS, Efstathios",GRE,Bronze,1896
6,"HAJOS, Alfred",HUN,Gold,1896
7,"ANDREOU, Joannis",GRE,Silver,1896
8,"CHOROPHAS, Efstathios",GRE,Bronze,1896
9,"NEUMANN, Paul",AUT,Gold,1896
10,"PEPANOS, Antonios",GRE,Silver,1896
11,"LANE, Francis",USA,Bronze,1896
12,"SZOKOLYI, Alajos",HUN,Bronze,1896
13,"BURKE, Thomas",USA,Gold,1896
14,"HOFMANN, Fritz",GER,Silver,1896
15,"CURTIS, Thomas",USA,Gold,1896
16,"GOULDING, Grantley",GBR,Silver,1896
17,"LERMUSIAUX, Albin",FRA,Bronze,1896
18,"FLACK, Edwin",AUS,Gold,1896
19,"BLAKE, Arthur",USA,Silver,1896
20,"GMELIN, Charles",GBR,Bronze,1896
21,"BURKE, Thomas",USA,Gold,1896
22,"JAMISON, Herbert",USA,Silver,1896
23,"GOLEMIS, Dimitrios",GRE,Bronze,1896
24,"FLACK, Edwin",AUS,Gold,1896
25,"DANI, Nandor",HUN,Silver,1896
26,"VERSIS, Sotirios",GRE,Bronze,1896
27,"GARRETT, Robert",USA,Gold,1896
28,"PARASKEVOPOULOS, Panagiotis",GRE,Silver,1896
29,"CLARK, Ellery",USA,Gold,1896
30,"CONNOLLY, James",USA,Silver,1896
31,"GARRETT, Robert",USA,Silver,1896
32,"CONNOLLY, James",USA,Bronze,1896
33,"CLARK, Ellery",USA,Gold,1896
34,"GARRETT, Robert",USA,Silver,1896
35,"KELLNER, Gyula",HUN,Bronze,1896
36,"LOUIS, Spyridon",GRE,Gold,1896
37,"VASILAKOS, Kharilaos",GRE,Silver,1896
38,"DAMASKOS, Evangelos",GRE,Bronze,1896
39,"THEODOROPOULOS, Ioannis",GRE,Bronze,1896
40,"HOYT, William Welles",USA,Gold,1896
41,"TYLER, Albert",USA,Silver,1896
42,"PAPASIDERIS, Georgios",GRE,Bronze,1896
43,"GARRETT, Robert",USA,Gold,1896
44,"GOUSKOS, Miltiadis",GRE,Silver,1896
45,"PERSAKIS, Ioannis",GRE,Bronze,1896
46,"CONNOLLY, James",USA,Gold,1896
47,"TUFFERI, Alexandre",FRA,Silver,1896
48,"BATTEL, Edward",GBR,Bronze,1896
49,"KONSTANTINIDIS, Aristidis",GRE,Gold,1896
50,"GOEDRICH, August",GER,Silver,1896
51,"FLAMENG, Léon",FRA,Gold,1896
52,"KOLETTIS, Georgios",GRE,Silver,1896
53,"SCHMAL, Adolf",AUT,Bronze,1896
54,"MASSON, Paul",FRA,Gold,1896
55,"FLAMENG, Léon",FRA,Silver,1896
56,"SCHMAL, Adolf",AUT,Gold,1896
57,"KEEPING, Frank",GBR,Silver,1896
58,"SCHMAL, Adolf",AUT,Bronze,1896
59,"MASSON, Paul",FRA,Gold,1896
60,"NIKOLOPOULOS, Stamatios",GRE,Silver,1896
61,"FLAMENG, Léon",FRA,Bronze,1896
62,"MASSON, Paul",FRA,Gold,1896
63,"NIKOLOPOULOS, Stamatios",GRE,Silver,1896
64,"PIERRAKOS-MAVROMICHALIS, Perikles",GRE,Bronze,1896
65,"GRAVELOTTE, Eugène-Henri",FRA,Gold,1896
66,"CALLOT, Henri",FRA,Silver,1896
67,"PYRGOS, Leonidas",GRE,Gold,1896
68,"PERRONNET, Maurice",FRA,Silver,1896
69,"NIELSEN, Holger",DEN,Bronze,1896
70,"GEORGIADIS, Ioannis",GRE,Gold,1896
71,"KARAKALOS, Telemachos",GRE,Silver,1896
72,"WEINGÄRTNER, Hermann",GER,Gold,1896
73,"FLATOW, Alfred",GER,Silver,1896
74,"FLATOW, Alfred",GER,Gold,1896
75,"ZUTTER, Louis",SUI,Silver,1896
76,"ZUTTER, Louis",SUI,Gold,1896
77,"WEINGÄRTNER, Hermann",GER,Silver,1896
78,"PERSAKIS, Petros",GRE,Bronze,1896
79,"MITROPOULOS, Ioannis",GRE,Gold,1896
80,"WEINGÄRTNER, Hermann",GER,Silver,1896
81,"HOFMANN, Fritz",GER,Bronze,1896
82,"ANDRIAKOPOULOS, Nicolaos",GRE,Gold,1896
83,"XENAKIS, Thomasios",GRE,Silver,1896
84,"BÖCKER, Konrad",GER,Gold,1896
85,"FLATOW, Alfred",GER,Gold,1896
86,"FLATOW, Gustav Felix",GER,Gold,1896
87,"HILMAR, Georg",GER,Gold,1896
88,"HOFMANN, Fritz",GER,Gold,1896
89,"MANTEUFFEL, Fritz",GER,Gold,1896
90,"NEUKIRCH, Karl",GER,Gold,1896
91,"RÖSTEL, Richard",GER,Gold,1896
92,"SCHUFT, Gustav",GER,Gold,1896
93,"SCHUMANN, Carl",GER,Gold,1896
94,"WEINGÄRTNER, Hermann",GER,Gold,1896
95,"CHRYSAPHIS, Ioannis",GRE,Bronze,1896
96,"KARVELAS, Phillippos",GRE,Bronze,1896
97,"LOUNDRAS, Dimitrios",GRE,Bronze,1896
98,"MITROPOULOS, Ioannis",GRE,Bronze,1896
99,"BÖCKER, Konrad",GER,Gold,1896
100,"FLATOW, Alfred",GER,Gold,1896
101,"FLATOW, Gustav Felix",GER,Gold,1896
102,"HILMAR, Georg",GER,Gold,1896
103,"HOFMANN, Fritz",GER,Gold,1896
104,"MANTEUFFEL, Fritz",GER,Gold,1896
105,"NEUKIRCH, Karl",GER,Gold,1896
106,"RÖSTEL, Richard",GER,Gold,1896
107,"SCHUFT, Gustav",GER,Gold,1896
108,"SCHUMANN, Carl",GER,Gold,1896
109,"WEINGÄRTNER, Hermann",GER,Gold,1896
110,"ANDRIAKOPOULOS, Nicolaos",GRE,Silver,1896
111,"ATHANASOPOULOS, Spyros",GRE,Silver,1896
112,"PERSAKIS, Petros",GRE,Silver,1896
113,"XENAKIS, Thomasios",GRE,Silver,1896
114,"WEINGÄRTNER, Hermann",GER,Bronze,1896
115,"SCHUMANN, Carl",GER,Gold,1896
116,"ZUTTER, Louis",SUI,Silver,1896
117,"MORAKIS, Nikolaos",GRE,Bronze,1896
118,"PAINE, John",USA,Gold,1896
119,"PAINE, Sumner",USA,Silver,1896
120,"NIELSEN, Holger",DEN,Bronze,1896
121,"PHRANGOUDIS, Joannis",GRE,Gold,1896
122,"ORPHANIDIS, Georgios",GRE,Silver,1896
123,"PHRANGOUDIS, Joannis",GRE,Bronze,1896
124,"PAINE, Sumner",USA,Gold,1896
125,"NIELSEN, Holger",DEN,Silver,1896
126,"TRIKUPIS, Nicolaos",GRE,Bronze,1896
127,"KARASEVDAS, Pantelis",GRE,Gold,1896
128,"PAVLIDIS, Pavlos",GRE,Silver,1896
129,"JENSEN, Viggo",DEN,Bronze,1896
130,"ORPHANIDIS, Georgios",GRE,Gold,1896
131,"PHRANGOUDIS, Joannis",GRE,Silver,1896
132,"FLACK, Edwin",ZZX,Bronze,1896
133,"ROBERTSON, George Stuart",ZZX,Bronze,1896
134,"BOLAND, John",ZZX,Gold,1896
135,"TRAUN, Friedrich",ZZX,Gold,1896
136,"KASDAGLIS, Dionysios",ZZX,Silver,1896
137,"PETROKOKKINOS, Demetrios",ZZX,Silver,1896
138,"PASPATIS, Konstantinos",GRE,Bronze,1896
139,"TAPAVICZA, Momcsillo",HUN,Bronze,1896
140,"BOLAND, John",GBR,Gold,1896
141,"KASDAGLIS, Dionysios",GRE,Silver,1896
142,"NIKOLOPOULOS, Alexandros",GRE,Bronze,1896
143,"ELLIOTT, Launceston",GBR,Gold,1896
144,"JENSEN, Viggo",DEN,Silver,1896
145,"VERSIS, Sotirios",GRE,Bronze,1896
146,"JENSEN, Viggo",DEN,Gold,1896
147,"ELLIOTT, Launceston",GBR,Silver,1896
148,"CHRISTOPOULOS, Stephanos",GRE,Bronze,1896
