,party,infants,water,budget,physician,salvador,religious,satellite,aid,missile,immigration,synfuels,education,superfund,crime,duty_free_exports,eaa_rsa
0,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
1,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
2,democrat,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
3,democrat,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
4,democrat,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1
5,democrat,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
6,democrat,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1
7,republican,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
8,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
9,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
10,republican,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
11,republican,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1
12,democrat,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1
13,democrat,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1
14,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
15,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
16,democrat,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1
17,democrat,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1
18,republican,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
19,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
20,democrat,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1
21,democrat,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1
22,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
23,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
24,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
25,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
26,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
27,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
28,republican,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1
29,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
30,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
31,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
32,democrat,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
33,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
34,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
35,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
36,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
37,republican,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
38,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
