,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
237,Personal Services - Teachers,Instruction - Regular,,,,,,0.0,,TIME CARD CERTIFIEDAddl,Alternative Schools Instruction,175.35000000000005,,,General Purpose School,
466,Extra Duty/Signing Bonus Pay,Basic Educational Services,,,,General,School ,,Instruction,,,43424.90584930001,,,General Fund,
784,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,STAFF DEV AND INSTR MEDIA     ,0.0,INST STAFF TRAINING SVCS      ,,,75.09,,,GENERAL FUND                  ,TEACHER TRAINING              
1786,TERMINAL LEAVE VACATION       ,,,INSPECTOR & SERVICE TECHNICIAN,,,TRANSPORTATION                ,0.0,PUPIL TRANSPORTATION SERVICES ,,,5274.8055,,,GENERAL FUND                  ,TERMINAL LEAVE                
2643,Extra Duty/Signing Bonus Pay,Undistributed,,,,Principal & Asst. Principal Support,Educator Quality ,,Curriculum & Instructional Staff Development,,,44789.32649469999,,,General Fund,
3602,Professional Salaries,Accelerated Education,,CELL PHONE,,General,Learning Support Services,,"Guidance, Counseling and Evaluation Services",,,436.79738043599997,,,General Fund,
5196,"Water,Wastewater, Sanitation",Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,35747.51,,,General Fund,
5233,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,School ,0.0,BASIC (FEFP K-12)             ,,,59.49,,,GENERAL FUND                  ,INTENSIVE READING DOP - SAI   
6496,Professional Salaries,Undistributed,,PROJ DIR,,General,State/Federal Compliance & Accountability,0.102,Instructional Leadership,,,11436.6004664,,,General Fund,
8074,Student Meals/Room/Other,High School Allotment,,,,General,School ,,Instruction,,,5000.38,,,General Fund,
9209,Misc Operating Expenses,Undistributed,,,,General,Student Services,,General Administration,,,300.61,,,General Fund,
9817,Professional Salaries,Prekindergarten,,COUNS- ELEM,,Overcrowding,Pre-K Center,0.5,"Guidance, Counseling and Evaluation Services",,,29221.3676749,,,General Fund,
13881,Extra Duty/Signing Bonus Pay,Athletics and Related,,"ASST COACH,NVFB",,General,School ,,Cocurricular & Extra Curricular Activities,,,4570.16737709,,,Athletics,
13896,Food/Refreshment,Undistributed,,,,Intergovernment Relation,Legal Services,,General Administration,,,249.73,,,General Fund,
13933,,Accelerated Education,,,,Distributed from departments,State/Federal Compliance & Accountability,,Instruction,,,23896.24,,,Title I- Part A,
14337,Professional Salaries,Special Education,,,,General,School ,,Curriculum & Instructional Staff Development,,,0.36,,,IDEA-B Formula,
16001,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,1.0,Student Transportation,,,34837.7879773,,,General Fund,
16249,Salaries And Wages For Teachers And Other Professi,PRE-K,State Ed. Allotment,"TEACHER, PRE-K",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School ,0.5,Instruction,TEACHER BACHELOR,,26755.1107628,,,General Operating Fund,REGULAR PAY
16307,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,"TEACHER, FIFTH                ",,,School ,,BASIC (FEFP K-12)             ,,,1949.88,,,GENERAL FUND                  ,LOCAL ALLOC SAI               
17098,Personal Services - Other Compensation,Support - TAP,,,,,,0.0,,TIME CARD CERTIFIEDAddl,Teacher Advancement Program (TAP),2311.32,,,ITEMFA Schools Partnership,TEACHER ADVANCEMENT PROGRAM
17340,PARA PROFESSIONAL             ,,,ENRICHMENT ASSISTANT          ,,,CHARTER,0.5,BASIC (FEFP K-12)             ,,,19834.795543400003,,,CONVERSION CHARTER SCHOOLS    ,
21426,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1.0,Instruction,,,31906.286646,,,General Fund,
