,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
198,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplemental *,,Operation and Maintenance of Plant Services,,,,Non-Certificated Salaries And Wages,,,Care and Upkeep of Building Services,,,-8291.86,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I CARRYOVER 
209,Student Transportation,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,REPAIR AND MAINTENANCE SERVICES,,PUPIL TRANSPORTATION,,,,,ADMIN. SERVICES,,STUDENT TRANSPORT SERVICE,,,618.2900000000002,PUPIL TRANSPORTATION,General Fund,
750,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER 5TH GRADE,,Regular Instruction,,,1.0,,,TEACHER,49768.82,Instruction - Regular,General Purpose School,
931,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,General Supplies,,,,,,General Supplies,,,Instruction,Instruction And Curriculum,,-1.02,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,
1524,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,,Community Services,,,,Supplies And Materials,,,Other Community Services *,,,2304.43,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I PI+HOMELESS
1770,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ATHLETIC SUPPLEMENTS          ,,,COACHING SUPPLEMENT PAY       ,,,,School ,,BASIC (FEFP K-12)             ,,,1505.85,,GENERAL FUND                  ,
1951,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,CONFERENCE REGISTRATION       ,,,,,,,School ,,INST STAFF TRAINING SVCS      ,,,2400.59,,GENERAL FUND                  ,SCHOOL OPERATING ACCOUNT      
2542,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,ARRA - STIMULUS,Speech Language Pathologst ,n/a,,,SPECIAL EDUCATION,,IDEA ARRA,,PROFESSIONAL-INSTRUCTIONAL,228.57,SPECIAL EDUCATION-S/L-ATRT,,SPECIAL EDUCATION
2640,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL       ,,,"MANAGER, GEOGRAPHIC INFO SYTMS",,,,CHIEF OF OPERATIONS           ,1.0,"PLANNING,RES,DEV,& EVAL       ",,,104807.511087,,GENERAL FUND                  ,
2939,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Social Worker ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,1086.75,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
3029,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Elementary ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-894.7199999999998,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
