,survived,pclass,age,sibsp,parch,fare,male,age_was_missing,embarked_from_cherbourg,embarked_from_queenstown,embarked_from_southampton
0,0,3,22.0,1,0,7.25,1,False,0,0,1
1,1,1,38.0,1,0,71.2833,0,False,1,0,0
2,1,3,26.0,0,0,7.925,0,False,0,0,1
3,1,1,35.0,1,0,53.1,0,False,0,0,1
4,0,3,35.0,0,0,8.05,1,False,0,0,1
5,0,3,29.69911764705882,0,0,8.4583,1,True,0,1,0
6,0,1,54.0,0,0,51.8625,1,False,0,0,1
7,0,3,2.0,3,1,21.075,1,False,0,0,1
8,1,3,27.0,0,2,11.1333,0,False,0,0,1
9,1,2,14.0,1,0,30.0708,0,False,1,0,0
10,1,3,4.0,1,1,16.7,0,False,0,0,1
11,1,1,58.0,0,0,26.55,0,False,0,0,1
12,0,3,20.0,0,0,8.05,1,False,0,0,1
13,0,3,39.0,1,5,31.275,1,False,0,0,1
14,0,3,14.0,0,0,7.8542,0,False,0,0,1
15,1,2,55.0,0,0,16.0,0,False,0,0,1
16,0,3,2.0,4,1,29.125,1,False,0,1,0
17,1,2,29.69911764705882,0,0,13.0,1,True,0,0,1
18,0,3,31.0,1,0,18.0,0,False,0,0,1
19,1,3,29.69911764705882,0,0,7.225,0,True,1,0,0
20,0,2,35.0,0,0,26.0,1,False,0,0,1
21,1,2,34.0,0,0,13.0,1,False,0,0,1
22,1,3,15.0,0,0,8.0292,0,False,0,1,0
23,1,1,28.0,0,0,35.5,1,False,0,0,1
24,0,3,8.0,3,1,21.075,0,False,0,0,1
25,1,3,38.0,1,5,31.3875,0,False,0,0,1
26,0,3,29.69911764705882,0,0,7.225,1,True,1,0,0
27,0,1,19.0,3,2,263.0,1,False,0,0,1
28,1,3,29.69911764705882,0,0,7.8792,0,True,0,1,0
29,0,3,29.69911764705882,0,0,7.8958,1,True,0,0,1
30,0,1,40.0,0,0,27.7208,1,False,1,0,0
31,1,1,29.69911764705882,1,0,146.5208,0,True,1,0,0
32,1,3,29.69911764705882,0,0,7.75,0,True,0,1,0
33,0,2,66.0,0,0,10.5,1,False,0,0,1
34,0,1,28.0,1,0,82.1708,1,False,1,0,0
35,0,1,42.0,1,0,52.0,1,False,0,0,1
36,1,3,29.69911764705882,0,0,7.2292,1,True,1,0,0
37,0,3,21.0,0,0,8.05,1,False,0,0,1
38,0,3,18.0,2,0,18.0,0,False,0,0,1
39,1,3,14.0,1,0,11.2417,0,False,1,0,0
40,0,3,40.0,1,0,9.475,0,False,0,0,1
41,0,2,27.0,1,0,21.0,0,False,0,0,1
42,0,3,29.69911764705882,0,0,7.8958,1,True,1,0,0
43,1,2,3.0,1,2,41.5792,0,False,1,0,0
44,1,3,19.0,0,0,7.8792,0,False,0,1,0
45,0,3,29.69911764705882,0,0,8.05,1,True,0,0,1
46,0,3,29.69911764705882,1,0,15.5,1,True,0,1,0
47,1,3,29.69911764705882,0,0,7.75,0,True,0,1,0
48,0,3,29.69911764705882,2,0,21.6792,1,True,1,0,0
49,0,3,18.0,1,0,17.8,0,False,0,0,1
50,0,3,7.0,4,1,39.6875,1,False,0,0,1
51,0,3,21.0,0,0,7.8,1,False,0,0,1
52,1,1,49.0,1,0,76.7292,0,False,1,0,0
53,1,2,29.0,1,0,26.0,0,False,0,0,1
54,0,1,65.0,0,1,61.9792,1,False,1,0,0
55,1,1,29.69911764705882,0,0,35.5,1,True,0,0,1
56,1,2,21.0,0,0,10.5,0,False,0,0,1
57,0,3,28.5,0,0,7.2292,1,False,1,0,0
58,1,2,5.0,1,2,27.75,0,False,0,0,1
59,0,3,11.0,5,2,46.9,1,False,0,0,1
60,0,3,22.0,0,0,7.2292,1,False,1,0,0
61,1,1,38.0,0,0,80.0,0,False,0,0,0
62,0,1,45.0,1,0,83.475,1,False,0,0,1
63,0,3,4.0,3,2,27.9,1,False,0,0,1
64,0,1,29.69911764705882,0,0,27.7208,1,True,1,0,0
65,1,3,29.69911764705882,1,1,15.2458,1,True,1,0,0
66,1,2,29.0,0,0,10.5,0,False,0,0,1
67,0,3,19.0,0,0,8.1583,1,False,0,0,1
68,1,3,17.0,4,2,7.925,0,False,0,0,1
69,0,3,26.0,2,0,8.6625,1,False,0,0,1
70,0,2,32.0,0,0,10.5,1,False,0,0,1
71,0,3,16.0,5,2,46.9,0,False,0,0,1
72,0,2,21.0,0,0,73.5,1,False,0,0,1
73,0,3,26.0,1,0,14.4542,1,False,1,0,0
74,1,3,32.0,0,0,56.4958,1,False,0,0,1
75,0,3,25.0,0,0,7.65,1,False,0,0,1
76,0,3,29.69911764705882,0,0,7.8958,1,True,0,0,1
77,0,3,29.69911764705882,0,0,8.05,1,True,0,0,1
78,1,2,0.83,0,2,29.0,1,False,0,0,1
79,1,3,30.0,0,0,12.475,0,False,0,0,1
80,0,3,22.0,0,0,9.0,1,False,0,0,1
81,1,3,29.0,0,0,9.5,1,False,0,0,1
82,1,3,29.69911764705882,0,0,7.7875,0,True,0,1,0
83,0,1,28.0,0,0,47.1,1,False,0,0,1
84,1,2,17.0,0,0,10.5,0,False,0,0,1
85,1,3,33.0,3,0,15.85,0,False,0,0,1
86,0,3,16.0,1,3,34.375,1,False,0,0,1
87,0,3,29.69911764705882,0,0,8.05,1,True,0,0,1
88,1,1,23.0,3,2,263.0,0,False,0,0,1
89,0,3,24.0,0,0,8.05,1,False,0,0,1
90,0,3,29.0,0,0,8.05,1,False,0,0,1
91,0,3,20.0,0,0,7.8542,1,False,0,0,1
92,0,1,46.0,1,0,61.175,1,False,0,0,1
93,0,3,26.0,1,2,20.575,1,False,0,0,1
94,0,3,59.0,0,0,7.25,1,False,0,0,1
95,0,3,29.69911764705882,0,0,8.05,1,True,0,0,1
96,0,1,71.0,0,0,34.6542,1,False,1,0,0
97,1,1,23.0,0,1,63.3583,1,False,1,0,0
98,1,2,34.0,0,1,23.0,0,False,0,0,1
99,0,2,34.0,1,0,26.0,1,False,0,0,1
100,0,3,28.0,0,0,7.8958,0,False,0,0,1
101,0,3,29.69911764705882,0,0,7.8958,1,True,0,0,1
