,sender,recipient,time,year,month,day,hour,minute,second
0,1,2,2004-04-15 10:56:01,2004,4,15,10,56,1
1,3,4,2004-04-16 18:50:39,2004,4,16,18,50,39
2,5,2,2004-04-19 18:39:51,2004,4,19,18,39,51
3,6,7,2004-04-20 01:40:19,2004,4,20,1,40,19
4,8,7,2004-04-20 01:42:36,2004,4,20,1,42,36
5,9,10,2004-04-20 01:53:23,2004,4,20,1,53,23
6,9,11,2004-04-20 01:54:13,2004,4,20,1,54,13
7,12,13,2004-04-20 02:06:28,2004,4,20,2,6,28
8,9,14,2004-04-20 02:15:54,2004,4,20,2,15,54
9,9,15,2004-04-20 02:17:04,2004,4,20,2,17,4
10,9,16,2004-04-20 02:18:15,2004,4,20,2,18,15
11,9,17,2004-04-20 02:22:33,2004,4,20,2,22,33
12,9,14,2004-04-20 02:25:28,2004,4,20,2,25,28
13,9,18,2004-04-20 02:29:20,2004,4,20,2,29,20
14,19,18,2004-04-20 02:37:03,2004,4,20,2,37,3
15,20,21,2004-04-20 03:09:04,2004,4,20,3,9,4
16,19,22,2004-04-20 04:34:34,2004,4,20,4,34,34
17,8,23,2004-04-20 04:37:23,2004,4,20,4,37,23
18,9,24,2004-04-20 04:44:05,2004,4,20,4,44,5
19,9,22,2004-04-20 04:44:16,2004,4,20,4,44,16
20,25,21,2004-04-20 09:18:09,2004,4,20,9,18,9
21,26,7,2004-04-20 13:12:05,2004,4,20,13,12,5
22,27,28,2004-04-20 15:44:00,2004,4,20,15,44,0
23,29,25,2004-04-20 19:34:43,2004,4,20,19,34,43
24,30,31,2004-04-20 23:18:26,2004,4,20,23,18,26
25,30,31,2004-04-20 23:18:31,2004,4,20,23,18,31
26,30,31,2004-04-20 23:18:33,2004,4,20,23,18,33
27,30,31,2004-04-20 23:18:36,2004,4,20,23,18,36
28,32,33,2004-04-20 23:27:03,2004,4,20,23,27,3
29,34,35,2004-04-21 01:32:10,2004,4,21,1,32,10
30,34,33,2004-04-21 01:35:18,2004,4,21,1,35,18
31,36,37,2004-04-21 03:02:29,2004,4,21,3,2,29
32,38,39,2004-04-21 05:14:09,2004,4,21,5,14,9
33,36,40,2004-04-21 05:25:57,2004,4,21,5,25,57
34,41,15,2004-04-21 05:38:25,2004,4,21,5,38,25
35,41,11,2004-04-21 05:39:14,2004,4,21,5,39,14
36,41,14,2004-04-21 05:41:02,2004,4,21,5,41,2
37,41,13,2004-04-21 05:41:36,2004,4,21,5,41,36
38,41,39,2004-04-21 05:57:22,2004,4,21,5,57,22
39,41,42,2004-04-21 15:03:31,2004,4,21,15,3,31
40,41,43,2004-04-21 15:39:04,2004,4,21,15,39,4
41,9,40,2004-04-21 17:41:40,2004,4,21,17,41,40
42,44,45,2004-04-21 18:11:08,2004,4,21,18,11,8
43,46,22,2004-04-21 18:48:25,2004,4,21,18,48,25
44,44,46,2004-04-21 18:57:02,2004,4,21,18,57,2
45,47,46,2004-04-21 19:01:48,2004,4,21,19,1,48
46,48,46,2004-04-21 19:18:03,2004,4,21,19,18,3
47,9,49,2004-04-21 21:15:55,2004,4,21,21,15,55
48,36,50,2004-04-21 21:35:15,2004,4,21,21,35,15
49,44,51,2004-04-21 21:35:51,2004,4,21,21,35,51
50,32,52,2004-04-21 21:40:56,2004,4,21,21,40,56
51,36,32,2004-04-21 21:42:02,2004,4,21,21,42,2
52,53,54,2004-04-21 21:46:35,2004,4,21,21,46,35
53,36,55,2004-04-21 21:49:05,2004,4,21,21,49,5
54,56,57,2004-04-21 21:49:08,2004,4,21,21,49,8
55,36,32,2004-04-21 21:51:25,2004,4,21,21,51,25
56,36,58,2004-04-21 21:52:45,2004,4,21,21,52,45
57,44,59,2004-04-21 21:55:20,2004,4,21,21,55,20
58,51,58,2004-04-21 21:55:34,2004,4,21,21,55,34
59,44,14,2004-04-21 21:57:52,2004,4,21,21,57,52
60,36,56,2004-04-21 22:02:56,2004,4,21,22,2,56
61,36,60,2004-04-21 22:08:37,2004,4,21,22,8,37
62,56,61,2004-04-21 22:14:28,2004,4,21,22,14,28
63,62,50,2004-04-21 22:20:09,2004,4,21,22,20,9
64,36,60,2004-04-21 22:26:27,2004,4,21,22,26,27
65,32,59,2004-04-21 22:37:35,2004,4,21,22,37,35
66,36,60,2004-04-21 22:44:32,2004,4,21,22,44,32
67,36,50,2004-04-21 22:45:13,2004,4,21,22,45,13
68,41,63,2004-04-21 22:56:59,2004,4,21,22,56,59
69,41,64,2004-04-21 22:57:48,2004,4,21,22,57,48
70,41,65,2004-04-21 22:58:02,2004,4,21,22,58,2
