,Y
2013-01-01,1111.6115872583296
2013-01-02,-982.4233290642034
2013-01-03,-134.6680882297016
2013-01-04,-205.1415453192673
2013-01-05,177.8955264589329
2013-01-06,820.0569112601628
2013-01-07,-470.1580127752206
2013-01-08,1111.6083394908708
2013-01-09,-982.2038552516236
2013-01-10,-133.72485809767025
2013-01-11,-204.46230938595303
2013-01-12,178.14869709929044
2013-01-13,821.7127591354669
2013-01-14,-469.98472213757157
2013-01-15,1112.1602278734367
2013-01-16,-980.6443230796723
2013-01-17,-132.92411751088102
2013-01-18,-205.77167755809685
2013-01-19,177.669207944626
2013-01-20,820.7688774265472
2013-01-21,-471.4778475152692
2013-01-22,1111.3741435956324
2013-01-23,-981.4815823802886
2013-01-24,-132.74401305490838
2013-01-25,-204.5363343899248
2013-01-26,179.07780795446706
2013-01-27,818.8631347012696
2013-01-28,-470.83259398205877
2013-01-29,1109.3718551958068
2013-01-30,-982.5364455660779
2013-01-31,-134.43293537595443
2013-02-01,-204.68383755109383
2013-02-02,178.21989746921494
2013-02-03,821.4047235654773
2013-02-04,-469.9908926718666
