date,lag_10_day,lag_1_day,lag_2_day,lag_3_day,lag_4_day,lag_5_day,lag_6_day,lag_7_day,lag_8_day,lag_9_day
2010-01-04,,,,,,,,,,
2010-01-05,,,,,,,,,,
2010-01-06,,,,,,,,,,
2010-01-07,,,,,,,,,,
2010-01-08,,,,,,,,,,
2010-01-11,,,,,,,,,,
2010-01-12,,,,,,,,,,
2010-01-13,,,,,,,,,,
2010-01-14,,,,,,,,,,
2010-01-15,,,,,,,,,,
2010-01-19,,,,,,,,,,
2010-01-20,,,,,,,,,,
2010-01-21,,,,,,,,,,
2010-01-22,,,,,,,,,,
2010-01-25,,,,,,,,,,
2010-01-26,,,,,,,,,,
2010-01-27,,,,,,,,,,
2010-01-28,,,,,,,,,,
2010-01-29,,,,,,,,,,
2010-02-01,,,,,,,,,,
2010-02-02,,-0.06251473610764964,,,,,,,,
2010-02-03,,-0.05244558013364709,-0.06251473610764964,,,,,,,
2010-02-04,,-0.03157501734888549,-0.05244558013364709,-0.06251473610764964,,,,,,
2010-02-05,,-0.06366352502302766,-0.03157501734888549,-0.05244558013364709,-0.06251473610764964,,,,,
2010-02-08,,-0.04248527299072833,-0.06366352502302766,-0.03157501734888549,-0.05244558013364709,-0.06251473610764964,,,,
2010-02-09,,-0.04498188844638194,-0.04248527299072833,-0.06366352502302766,-0.03157501734888549,-0.05244558013364709,-0.06251473610764964,,,
2010-02-10,,-0.030785129083868986,-0.04498188844638194,-0.04248527299072833,-0.06366352502302766,-0.03157501734888549,-0.05244558013364709,-0.06251473610764964,,
2010-02-11,,-0.03317264928548557,-0.030785129083868986,-0.04498188844638194,-0.04248527299072833,-0.06366352502302766,-0.03157501734888549,-0.05244558013364709,-0.06251473610764964,
2010-02-12,,-0.011579128300490567,-0.03317264928548557,-0.030785129083868986,-0.04498188844638194,-0.04248527299072833,-0.06366352502302766,-0.03157501734888549,-0.05244558013364709,-0.06251473610764964
2010-02-16,-0.06251473610764964,-0.000254747006330574,-0.011579128300490567,-0.03317264928548557,-0.030785129083868986,-0.04498188844638194,-0.04248527299072833,-0.06366352502302766,-0.03157501734888549,-0.05244558013364709
2010-02-17,-0.05244558013364709,0.016293927178068112,-0.000254747006330574,-0.011579128300490567,-0.03317264928548557,-0.030785129083868986,-0.04498188844638194,-0.04248527299072833,-0.06366352502302766,-0.03157501734888549
2010-02-18,-0.03157501734888549,0.01515433163074679,0.016293927178068112,-0.000254747006330574,-0.011579128300490567,-0.03317264928548557,-0.030785129083868986,-0.04498188844638194,-0.04248527299072833,-0.06366352502302766
2010-02-19,-0.06366352502302766,0.019527627759862755,0.01515433163074679,0.016293927178068112,-0.000254747006330574,-0.011579128300490567,-0.03317264928548557,-0.030785129083868986,-0.04498188844638194,-0.04248527299072833
2010-02-22,-0.04248527299072833,0.014576276817518748,0.019527627759862755,0.01515433163074679,0.016293927178068112,-0.000254747006330574,-0.011579128300490567,-0.03317264928548557,-0.030785129083868986,-0.04498188844638194
2010-02-23,-0.04498188844638194,0.007242209991575013,0.014576276817518748,0.019527627759862755,0.01515433163074679,0.016293927178068112,-0.000254747006330574,-0.011579128300490567,-0.03317264928548557,-0.030785129083868986
2010-02-24,-0.030785129083868986,-0.008949302449194781,0.007242209991575013,0.014576276817518748,0.019527627759862755,0.01515433163074679,0.016293927178068112,-0.000254747006330574,-0.011579128300490567,-0.03317264928548557
2010-02-25,-0.03317264928548557,0.011533355516559875,-0.008949302449194781,0.007242209991575013,0.014576276817518748,0.019527627759862755,0.01515433163074679,0.016293927178068112,-0.000254747006330574,-0.011579128300490567
2010-02-26,-0.011579128300490567,0.020242727803351828,0.011533355516559875,-0.008949302449194781,0.007242209991575013,0.014576276817518748,0.019527627759862755,0.01515433163074679,0.016293927178068112,-0.000254747006330574
2010-03-01,-0.000254747006330574,0.03273157119414525,0.020242727803351828,0.011533355516559875,-0.008949302449194781,0.007242209991575013,0.014576276817518748,0.019527627759862755,0.01515433163074679,0.016293927178068112
2010-03-02,0.016293927178068112,0.051279838430676156,0.03273157119414525,0.020242727803351828,0.011533355516559875,-0.008949302449194781,0.007242209991575013,0.014576276817518748,0.019527627759862755,0.01515433163074679
2010-03-03,0.01515433163074679,0.04662418985500876,0.051279838430676156,0.03273157119414525,0.020242727803351828,0.011533355516559875,-0.008949302449194781,0.007242209991575013,0.014576276817518748,0.019527627759862755
2010-03-04,0.019527627759862755,0.045447729787747096,0.04662418985500876,0.051279838430676156,0.03273157119414525,0.020242727803351828,0.011533355516559875,-0.008949302449194781,0.007242209991575013,0.014576276817518748
2010-03-05,0.014576276817518748,0.049553429609931254,0.045447729787747096,0.04662418985500876,0.051279838430676156,0.03273157119414525,0.020242727803351828,0.011533355516559875,-0.008949302449194781,0.007242209991575013
2010-03-08,0.007242209991575013,0.08528803069782259,0.049553429609931254,0.045447729787747096,0.04662418985500876,0.051279838430676156,0.03273157119414525,0.020242727803351828,0.011533355516559875,-0.008949302449194781
2010-03-09,-0.008949302449194781,0.07931813238376156,0.08528803069782259,0.049553429609931254,0.045447729787747096,0.04662418985500876,0.051279838430676156,0.03273157119414525,0.020242727803351828,0.011533355516559875
2010-03-10,0.011533355516559875,0.09166372691016653,0.07931813238376156,0.08528803069782259,0.049553429609931254,0.045447729787747096,0.04662418985500876,0.051279838430676156,0.03273157119414525,0.020242727803351828
2010-03-11,0.020242727803351828,0.09301733444449471,0.09166372691016653,0.07931813238376156,0.08528803069782259,0.049553429609931254,0.045447729787747096,0.04662418985500876,0.051279838430676156,0.03273157119414525
2010-03-12,0.03273157119414525,0.08795295744091143,0.09301733444449471,0.09166372691016653,0.07931813238376156,0.08528803069782259,0.049553429609931254,0.045447729787747096,0.04662418985500876,0.051279838430676156
2010-03-15,0.051279838430676156,0.08586218449375191,0.08795295744091143,0.09301733444449471,0.09166372691016653,0.07931813238376156,0.08528803069782259,0.049553429609931254,0.045447729787747096,0.04662418985500876
2010-03-16,0.04662418985500876,0.06558960581442351,0.08586218449375191,0.08795295744091143,0.09301733444449471,0.09166372691016653,0.07931813238376156,0.08528803069782259,0.049553429609931254,0.045447729787747096
2010-03-17,0.045447729787747096,0.06304932718875421,0.06558960581442351,0.08586218449375191,0.08795295744091143,0.09301733444449471,0.09166372691016653,0.07931813238376156,0.08528803069782259,0.049553429609931254
2010-03-18,0.049553429609931254,0.055723056357378835,0.06304932718875421,0.06558960581442351,0.08586218449375191,0.08795295744091143,0.09301733444449471,0.09166372691016653,0.07931813238376156,0.08528803069782259
2010-03-19,0.08528803069782259,0.05268935090302383,0.055723056357378835,0.06304932718875421,0.06558960581442351,0.08586218449375191,0.08795295744091143,0.09301733444449471,0.09166372691016653,0.07931813238376156
