,Date,Day,status_country,counts
0,1/5/2015,289,Cases_Guinea,2776.0
1,1/4/2015,288,Cases_Guinea,2775.0
2,1/3/2015,287,Cases_Guinea,2769.0
3,1/2/2015,286,Cases_Guinea,
4,12/31/2014,284,Cases_Guinea,2730.0
5,12/28/2014,281,Cases_Guinea,2706.0
6,12/27/2014,280,Cases_Guinea,2695.0
7,12/24/2014,277,Cases_Guinea,2630.0
8,12/21/2014,273,Cases_Guinea,2597.0
9,12/20/2014,272,Cases_Guinea,2571.0
10,12/18/2014,271,Cases_Guinea,
11,12/14/2014,267,Cases_Guinea,2416.0
12,12/9/2014,262,Cases_Guinea,
13,12/7/2014,260,Cases_Guinea,2292.0
14,12/3/2014,256,Cases_Guinea,
15,11/30/2014,253,Cases_Guinea,2164.0
16,11/28/2014,251,Cases_Guinea,
17,11/23/2014,246,Cases_Guinea,2134.0
18,11/22/2014,245,Cases_Guinea,
19,11/18/2014,241,Cases_Guinea,2047.0
20,11/16/2014,239,Cases_Guinea,1971.0
21,11/15/2014,238,Cases_Guinea,
22,11/11/2014,234,Cases_Guinea,1919.0
23,11/10/2014,233,Cases_Guinea,
24,11/9/2014,232,Cases_Guinea,1878.0
25,11/8/2014,231,Cases_Guinea,
26,11/4/2014,227,Cases_Guinea,
27,11/3/2014,226,Cases_Guinea,1760.0
28,11/2/2014,225,Cases_Guinea,1731.0
29,10/31/2014,222,Cases_Guinea,
30,10/29/2014,220,Cases_Guinea,1667.0
31,10/27/2014,218,Cases_Guinea,1906.0
32,10/25/2014,216,Cases_Guinea,
33,10/22/2014,214,Cases_Guinea,
34,10/21/2014,213,Cases_Guinea,1553.0
35,10/19/2014,211,Cases_Guinea,1540.0
36,10/18/2014,210,Cases_Guinea,
37,10/14/2014,206,Cases_Guinea,1519.0
38,10/13/2014,205,Cases_Guinea,
39,10/12/2014,204,Cases_Guinea,1472.0
40,10/11/2014,203,Cases_Guinea,
41,10/8/2014,200,Cases_Guinea,
42,10/7/2014,199,Cases_Guinea,1350.0
43,10/5/2014,197,Cases_Guinea,1298.0
44,10/4/2014,196,Cases_Guinea,
45,10/1/2014,193,Cases_Guinea,1199.0
46,9/28/2014,190,Cases_Guinea,1157.0
47,9/23/2014,185,Cases_Guinea,1074.0
48,9/21/2014,183,Cases_Guinea,1022.0
49,9/20/2014,182,Cases_Guinea,
50,9/19/2014,181,Cases_Guinea,1008.0
51,9/17/2014,179,Cases_Guinea,
52,9/14/2014,176,Cases_Guinea,942.0
53,9/13/2014,175,Cases_Guinea,936.0
54,9/10/2014,172,Cases_Guinea,899.0
55,9/9/2014,171,Cases_Guinea,
56,9/7/2014,169,Cases_Guinea,861.0
57,9/5/2014,167,Cases_Guinea,812.0
58,8/31/2014,162,Cases_Guinea,771.0
59,8/26/2014,157,Cases_Guinea,648.0
60,8/20/2014,151,Cases_Guinea,607.0
61,8/18/2014,149,Cases_Guinea,579.0
62,8/16/2014,147,Cases_Guinea,543.0
63,8/13/2014,144,Cases_Guinea,519.0
64,8/11/2014,142,Cases_Guinea,510.0
65,8/9/2014,140,Cases_Guinea,506.0
66,8/6/2014,137,Cases_Guinea,495.0
67,8/4/2014,135,Cases_Guinea,495.0
68,8/1/2014,132,Cases_Guinea,485.0
69,7/30/2014,129,Cases_Guinea,472.0
70,7/27/2014,126,Cases_Guinea,460.0
71,7/23/2014,123,Cases_Guinea,427.0
72,7/20/2014,120,Cases_Guinea,415.0
73,7/17/2014,117,Cases_Guinea,410.0
74,7/14/2014,114,Cases_Guinea,411.0
75,7/12/2014,112,Cases_Guinea,406.0
76,7/8/2014,108,Cases_Guinea,409.0
77,7/6/2014,106,Cases_Guinea,408.0
78,7/2/2014,102,Cases_Guinea,412.0
79,6/30/2014,100,Cases_Guinea,413.0
80,6/22/2014,92,Cases_Guinea,
81,6/20/2014,90,Cases_Guinea,390.0
82,6/19/2014,89,Cases_Guinea,
83,6/18/2014,88,Cases_Guinea,390.0
84,6/17/2014,87,Cases_Guinea,
85,6/16/2014,86,Cases_Guinea,398.0
86,6/10/2014,80,Cases_Guinea,351.0
87,6/5/2014,75,Cases_Guinea,
88,6/3/2014,73,Cases_Guinea,344.0
89,6/1/2014,71,Cases_Guinea,328.0
90,5/28/2014,67,Cases_Guinea,291.0
91,5/27/2014,66,Cases_Guinea,281.0
92,5/23/2014,62,Cases_Guinea,258.0
93,5/12/2014,51,Cases_Guinea,248.0
94,5/10/2014,49,Cases_Guinea,233.0
95,5/7/2014,46,Cases_Guinea,236.0
96,5/5/2014,44,Cases_Guinea,235.0
