Country,fertility,life,population,child_mortality,gdp,region
Afghanistan,5.659,59.612,31411743.0,105.0,1637.0,South Asia
Albania,1.741,76.78,3204284.0,16.6,9374.0,Europe & Central Asia
Algeria,2.817,70.615,35468208.0,27.4,12494.0,Middle East & North Africa
Angola,6.218,50.68899999999999,19081912.0,182.5,7047.0,Sub-Saharan Africa
Antigua and Barbuda,2.13,75.437,88710.0,9.9,20567.0,America
Argentina,2.215,75.77199999999998,40412376.0,14.6,15765.0,America
Armenia,1.55,74.291,3092072.0,18.0,6508.0,Europe & Central Asia
Aruba,1.7009999999999998,75.059,107488.0,17.84,33288.0,America
Australia,1.886,82.09100000000002,22268384.0,4.8,41330.0,East Asia & Pacific
Austria,1.4380000000000002,80.595,8393644.0,4.4,42861.0,Europe & Central Asia
Azerbaijan,1.97,70.518,9187783.0,39.0,15950.0,Europe & Central Asia
Bahamas,1.901,74.757,342877.0,13.9,22915.0,America
Bahrain,2.142,76.203,1261835.0,8.3,40553.0,Middle East & North Africa
Bangladesh,2.277,69.449,148692131.0,49.6,2459.0,South Asia
Barbados,1.839,74.875,273331.0,14.7,15297.0,America
Belarus,1.46,69.613,9595421.0,6.1,15703.0,Europe & Central Asia
Belgium,1.842,80.007,10712066.0,4.5,40764.0,Europe & Central Asia
Belize,2.801,73.24,311627.0,19.0,8209.0,America
Benin,5.095,58.797,8849892.0,111.6,1637.0,Sub-Saharan Africa
Bhutan,2.375,67.015,725940.0,42.3,6516.0,South Asia
Bolivia,3.357,66.362,9929849.0,47.0,5279.0,America
Bosnia and Herzegovina,1.242,75.898,3760149.0,7.5,9145.0,Europe & Central Asia
Botswana,2.761,46.588,2006945.0,60.3,13642.0,Sub-Saharan Africa
Brazil,1.838,73.12100000000002,194946470.0,16.7,14660.0,America
Brunei,2.051,77.956,398920.0,9.3,70636.0,East Asia & Pacific
Bulgaria,1.485,73.243,7494332.0,13.0,14886.0,Europe & Central Asia
Burkina Faso,5.869,55.081,16468714.0,113.5,1431.0,Sub-Saharan Africa
Burundi,6.3039999999999985,52.63800000000001,8382849.0,98.8,725.0,Sub-Saharan Africa
Cambodia,2.966,70.811,14138255.0,43.1,2513.0,East Asia & Pacific
Cameroon,5.017,53.718,19598889.0,106.0,2571.0,Sub-Saharan Africa
Canada,1.6269,80.986,34016593.0,5.6,40773.0,America
Cape Verde,2.427,74.094,495999.0,27.9,6005.0,Sub-Saharan Africa
Central African Rep.,4.626,48.139,4401051.0,,,Sub-Saharan Africa
Chad,6.596,49.794,11227208.0,160.1,1953.0,Sub-Saharan Africa
Channel Islands,1.436,79.902,153352.0,9.57,,Europe & Central Asia
Chile,1.858,79.168,17113688.0,8.8,19204.0,America
China,1.65,74.868,1341335152.0,15.7,9430.0,East Asia & Pacific
Colombia,2.376,73.42399999999998,46294841.0,18.5,10777.0,America
Comoros,4.919,60.223,734750.0,86.0,1426.0,Sub-Saharan Africa
"Congo, Dem. Rep.",6.251,49.01,65965795.0,116.1,632.0,Sub-Saharan Africa
"Congo, Rep.",5.072,57.229,4042899.0,60.6,5533.0,Sub-Saharan Africa
Costa Rica,1.847,79.28,4658887.0,10.2,12322.0,America
Cote d'Ivoire,4.91,49.642,19737800.0,110.1,2892.0,Sub-Saharan Africa
Croatia,1.465,76.54,4403330.0,5.4,19989.0,Europe & Central Asia
Cuba,1.467,78.736,11257979.0,6.6,18477.0,America
Cyprus,1.4780000000000002,79.348,1103647.0,3.9,33747.0,Europe & Central Asia
Czech Rep.,1.501,77.267,10492960.0,,,Europe & Central Asia
Denmark,1.8751,78.969,5550142.0,4.0,42997.0,Europe & Central Asia
Djibouti,3.604,60.307,888716.0,76.1,2665.0,Middle East & North Africa
Dominican Rep.,2.584,72.734,9927320.0,,,America
Ecuador,2.655,75.64699999999998,14464739.0,25.2,9311.0,America
Egypt,2.883,70.47800000000002,81121077.0,29.0,10615.0,Middle East & North Africa
El Salvador,2.263,71.88,6192993.0,20.0,7237.0,America
Equatorial Guinea,5.14,51.483,700401.0,110.9,34431.0,Sub-Saharan Africa
Eritrea,4.968,61.275,5253676.0,55.6,1083.0,Sub-Saharan Africa
Estonia,1.625,74.094,1341140.0,4.5,21710.0,Europe & Central Asia
Ethiopia,4.902,61.486,82949541.0,75.7,1081.0,Sub-Saharan Africa
Fiji,2.67,69.258,860623.0,23.9,7098.0,East Asia & Pacific
Finland,1.87,79.987,5364546.0,3.0,39425.0,Europe & Central Asia
France,1.981,81.35,62787427.0,4.3,36745.0,Europe & Central Asia
French Guiana,3.159,76.426,231151.0,11.41,,America
French Polynesia,2.11,75.618,270764.0,8.64,,East Asia & Pacific
Gabon,4.214,62.333,1505463.0,63.0,15982.0,Sub-Saharan Africa
Gambia,5.796,58.109,1728394.0,81.4,1667.0,Sub-Saharan Africa
Georgia,1.82,73.883,4352244.0,16.6,5938.0,Europe & Central Asia
Germany,1.386,80.2397218872,82302465.0,4.2,40632.0,Europe & Central Asia
Ghana,4.052,60.62600000000001,24391823.0,74.7,3091.0,Sub-Saharan Africa
Greece,1.499,80.23,11359346.0,4.7,29190.0,Europe & Central Asia
Greenland,2.195,70.775,57296.0,,24966.0,Europe & Central Asia
Grenada,2.24,72.375,104487.0,13.2,11178.0,America
Guadeloupe,2.123,80.141,460666.0,7.07,,America
Guam,2.472,78.046,179896.0,12.15,,East Asia & Pacific
Guatemala,3.974,71.1,14388929.0,34.5,6849.0,America
Guinea,5.174,55.317,9981590.0,111.9,1185.0,Sub-Saharan Africa
Guinea-Bissau,5.115,53.578,1515224.0,115.9,1368.0,Sub-Saharan Africa
Guyana,2.682,65.775,754493.0,41.5,5542.0,America
Haiti,3.35,45.0,9993247.0,208.8,1518.0,America
Honduras,3.154,72.854,7600524.0,24.4,4270.0,America
"Hong Kong, China",1.075,82.84,7053189.0,2.85,48108.0,East Asia & Pacific
Hungary,1.364,74.227,9983645.0,6.6,22062.0,Europe & Central Asia
Iceland,2.119,81.707,320136.0,2.4,38809.0,Europe & Central Asia
India,2.563,65.65,1224614327.0,59.9,4547.0,South Asia
Indonesia,2.434,70.185,239870937.0,33.1,8498.0,East Asia & Pacific
Iran,1.904,73.094,73973630.0,19.2,16980.0,Middle East & North Africa
Iraq,4.211,68.753,31671591.0,36.6,12330.0,Middle East & North Africa
Ireland,2.003,80.15100000000002,4469900.0,4.2,43860.0,Europe & Central Asia
Israel,2.92,81.295,7418400.0,4.6,29509.0,Middle East & North Africa
Italy,1.435,81.92299999999999,60550848.0,4.0,35753.0,Europe & Central Asia
Jamaica,2.334,72.89699999999998,2741052.0,18.1,8370.0,America
Japan,1.374,83.09200000000001,126535920.0,3.2,34404.0,East Asia & Pacific
Jordan,3.458,73.39,6187227.0,20.8,11256.0,Middle East & North Africa
Kazakhstan,2.5380000000000003,66.108,16026367.0,21.6,19601.0,Europe & Central Asia
Kenya,4.6160000000000005,59.58,40512682.0,63.6,2503.0,Sub-Saharan Africa
Kiribati,3.048,67.945,99546.0,62.9,1729.0,East Asia & Pacific
"Korea, Dem. Rep.",2.003,69.118,24346229.0,,,East Asia & Pacific
"Korea, Rep.",1.266,80.77199999999998,48183584.0,,,East Asia & Pacific
Kuwait,2.673,73.992,2736732.0,10.8,75365.0,Middle East & North Africa
Kyrgyzstan,2.974,67.054,5334223.0,,,Europe & Central Asia
Laos,3.29,66.957,6200894.0,,,East Asia & Pacific
