,country,year,life_expectancy
1,Afghanistan,1800,28.21
3,Albania,1800,35.4
4,Algeria,1800,28.82
7,Angola,1800,26.98
9,Antigua and Barbuda,1800,33.54
10,Argentina,1800,33.2
11,Armenia,1800,34.0
12,Aruba,1800,34.42
13,Australia,1800,34.05
14,Austria,1800,34.4
15,Azerbaijan,1800,29.17
16,Bahamas,1800,35.18
17,Bahrain,1800,30.3
18,Bangladesh,1800,25.5
19,Barbados,1800,32.12
20,Belarus,1800,36.2
21,Belgium,1800,40.0
22,Belize,1800,26.5
23,Benin,1800,31.0
25,Bhutan,1800,28.8
26,Bolivia,1800,33.0
27,Bosnia and Herzegovina,1800,35.1
28,Botswana,1800,33.6
29,Brazil,1800,32.0
31,Brunei,1800,29.2
32,Bulgaria,1800,35.8
33,Burkina Faso,1800,29.2
34,Burundi,1800,31.5
35,Cambodia,1800,35.0
36,Cameroon,1800,28.75
37,Canada,1800,39.0
38,Cape Verde,1800,33.8
40,Central African Republic,1800,30.0
41,Chad,1800,30.9
43,Chile,1800,32.0
44,China,1800,32.0
47,Colombia,1800,32.0
48,Comoros,1800,32.1
49,"Congo, Dem. Rep.",1800,31.6
50,"Congo, Rep.",1800,32.7
52,Costa Rica,1800,30.21
53,Cote d'Ivoire,1800,31.16
54,Croatia,1800,36.1
55,Cuba,1800,32.2
56,Cyprus,1800,38.5
57,Czech Republic,1800,34.95
59,Denmark,1800,37.41
60,Djibouti,1800,29.9
62,Dominican Republic,1800,29.9
64,Ecuador,1800,32.9
65,Egypt,1800,33.0
66,El Salvador,1800,28.7
67,Equatorial Guinea,1800,29.8
68,Eritrea,1800,30.2
70,Estonia,1800,36.14
71,Ethiopia,1800,29.7
74,Fiji,1800,26.1
75,Finland,1800,36.57
76,France,1800,33.97
77,French Guiana,1800,30.5
78,French Polynesia,1800,25.6
79,Gabon,1800,30.6
80,Gambia,1800,28.8
81,Georgia,1800,31.87
82,Germany,1800,38.37
83,Ghana,1800,28.0
85,Greece,1800,36.6
86,Greenland,1800,33.87
87,Grenada,1800,31.4
88,Guadeloupe,1800,27.66
89,Guam,1800,27.5
90,Guatemala,1800,25.8
92,Guinea,1800,29.5
93,Guinea-Bissau,1800,32.0
94,Guyana,1800,31.12
95,Haiti,1800,29.0
97,Honduras,1800,33.9
98,"Hong Kong, China",1800,34.9
99,Hungary,1800,36.0
100,Iceland,1800,42.85
101,India,1800,25.44
102,Indonesia,1800,30.0
103,Iran,1800,25.6
104,Iraq,1800,31.2
105,Ireland,1800,38.3
107,Israel,1800,32.0
108,Italy,1800,29.69
109,Jamaica,1800,34.2
110,Japan,1800,36.4
112,Jordan,1800,31.7
113,Kazakhstan,1800,26.2
114,Kenya,1800,25.5
115,Kiribati,1800,24.9
116,North Korea,1800,26.0
117,South Korea,1800,25.8
120,Kuwait,1800,26.0
121,Kyrgyz Republic,1800,23.94
122,Lao,1800,31.9
123,Latvia,1800,33.0
124,Lebanon,1800,29.7
125,Lesotho,1800,32.8
126,Liberia,1800,31.1
127,Libya,1800,33.1
129,Lithuania,1800,28.9
130,Luxembourg,1800,36.9
131,"Macao, China",1800,34.7
132,"Macedonia, FYR",1800,36.1
133,Madagascar,1800,30.5
134,Malawi,1800,30.3
135,Malaysia,1800,30.6
136,Maldives,1800,32.65
137,Mali,1800,26.41
138,Malta,1800,28.7
140,Martinique,1800,30.15
141,Mauritania,1800,32.0
142,Mauritius,1800,28.7
143,Mayotte,1800,32.5
144,Mexico,1800,26.9
145,"Micronesia, Fed. Sts.",1800,26.7
146,Moldova,1800,33.15
148,Mongolia,1800,31.8
149,Montenegro,1800,35.4
151,Morocco,1800,33.1
152,Mozambique,1800,30.28
153,Myanmar,1800,30.8
154,Namibia,1800,32.4
156,Nepal,1800,32.8
157,Netherlands,1800,39.86
158,Netherlands Antilles,1800,34.41
159,New Caledonia,1800,26.0
160,New Zealand,1800,34.05
162,Nicaragua,1800,25.4
163,Niger,1800,30.8
164,Nigeria,1800,30.4
169,Norway,1800,37.92
170,Oman,1800,32.3
171,Pakistan,1800,25.8
173,Panama,1800,32.9
174,Papua New Guinea,1800,31.5
175,Paraguay,1800,35.5
176,Peru,1800,35.7
177,Philippines,1800,30.9
179,Poland,1800,35.9
180,Portugal,1800,35.6
181,Puerto Rico,1800,30.43
182,Qatar,1800,30.8
183,Reunion,1800,33.0
184,Romania,1800,35.7
185,Russia,1800,29.57
186,Rwanda,1800,31.8
190,St. Lucia,1800,28.01
192,St. Vincent and the Grenadines,1800,25.99
194,Samoa,1800,25.4
196,Sao Tome and Principe,1800,31.0
197,Saudi Arabia,1800,32.1
198,Senegal,1800,25.2
199,Serbia,1800,35.5
202,Seychelles,1800,37.0
203,Sierra Leone,1800,25.1
204,Singapore,1800,29.1
205,Slovak Republic,1800,36.4
206,Slovenia,1800,36.6
207,Solomon Islands,1800,25.1
208,Somalia,1800,29.4
210,South Africa,1800,33.5
212,Spain,1800,29.5
213,Sri Lanka,1800,32.6
