,Salary,CareerSatisfaction,HoursPerWeek,JobSatisfaction,StackOverflowSatisfaction
0,,,0.0,,9.0
1,,,,,8.0
2,113750.0,8.0,,9.0,8.0
3,,6.0,5.0,3.0,10.0
4,,6.0,,8.0,
5,,,0.0,,6.0
6,,7.0,1.0,6.0,8.0
7,,7.0,1.0,7.0,7.0
8,,6.0,2.0,6.0,8.0
9,,6.0,1.0,8.0,9.0
10,,8.0,,9.0,10.0
11,,8.0,,6.0,
12,,3.0,1.0,,5.0
13,,8.0,3.0,6.0,10.0
14,100000.0,8.0,,8.0,8.0
15,,8.0,0.0,8.0,9.0
16,,6.0,2.0,,7.0
17,130000.0,9.0,,8.0,8.0
18,82500.0,5.0,,3.0,
19,,8.0,,8.0,9.0
20,,7.0,,7.0,
21,,8.0,1.0,8.0,9.0
22,100764.0,8.0,,9.0,8.0
23,,7.0,,8.0,8.0
24,,7.0,,9.0,
25,175000.0,7.0,0.0,7.0,9.0
26,,5.0,3.0,6.0,8.0
27,,9.0,,9.0,
28,,8.0,,7.0,7.0
29,,6.0,,6.0,
30,,8.0,3.0,7.0,
31,,7.0,,8.0,
32,,7.0,,,7.0
33,,7.0,2.0,5.0,10.0
34,14838.7096774194,10.0,1.0,8.0,10.0
35,,4.0,1.0,4.0,8.0
36,28200.0,7.0,,9.0,7.0
37,118279.56989247301,,1.0,,8.0
38,,8.0,2.0,8.0,8.0
39,,9.0,,8.0,
40,,9.0,,9.0,5.0
41,,9.0,,8.0,
42,,10.0,,10.0,10.0
43,,,,,
44,,5.0,,5.0,8.0
45,,,,,7.0
46,,,,,8.0
47,,9.0,1.0,8.0,8.0
48,,10.0,1.0,8.0,10.0
49,,9.0,2.0,5.0,6.0
50,,7.0,,10.0,10.0
51,,9.0,,6.0,8.0
52,15674.203821656101,6.0,4.0,5.0,8.0
53,,8.0,2.0,7.0,8.0
54,64516.1290322581,9.0,,9.0,9.0
55,,5.0,,4.0,8.0
56,,,1.0,,5.0
57,43010.752688172004,10.0,2.0,6.0,10.0
58,,3.0,,3.0,8.0
59,,6.0,,4.0,
60,,7.0,,8.0,8.0
61,6636.32359418588,5.0,,5.0,9.0
62,,7.0,,4.0,9.0
63,,7.0,0.0,,
64,69892.4731182796,8.0,,5.0,7.0
65,17777.7777777778,8.0,,8.0,7.0
66,,7.0,10.0,8.0,8.0
67,,7.0,,5.0,8.0
68,,6.0,,7.0,8.0
69,32258.064516128998,10.0,,8.0,
70,65000.0,8.0,2.0,5.0,7.0
71,,8.0,1.0,6.0,7.0
72,120000.0,8.0,,5.0,8.0
73,,9.0,,8.0,9.0
74,,9.0,,9.0,
75,46236.559139784906,6.0,2.0,2.0,9.0
76,96283.0,10.0,,8.0,7.0
77,,8.0,0.0,8.0,
78,,8.0,,8.0,
79,,7.0,,6.0,
80,,10.0,,10.0,
81,110000.0,7.0,,6.0,8.0
82,,7.0,0.0,8.0,7.0
83,165000.0,6.0,6.0,5.0,10.0
84,,10.0,,10.0,9.0
85,,7.0,,5.0,
86,,5.0,1.0,3.0,
87,,,1.0,,
88,,7.0,,8.0,9.0
89,113694.267515924,9.0,,9.0,10.0
90,38600.0,8.0,,6.0,9.0
91,,4.0,1.0,,8.0
92,,8.0,,8.0,
93,,6.0,,6.0,9.0
94,,7.0,0.0,,10.0
95,53763.440860215094,7.0,,7.0,7.0
96,,8.0,1.0,6.0,6.0
97,27548.209366391202,8.0,,8.0,9.0
98,,,1.0,,
99,109400.0,8.0,,8.0,5.0
100,,8.0,1.0,,7.0
101,,7.0,,,
102,83870.9677419355,9.0,,6.0,9.0
103,51000.0,10.0,,10.0,8.0
104,17515.923566879,6.0,1.0,6.0,8.0
105,,10.0,,10.0,9.0
106,,0.0,,0.0,9.0
107,,7.0,3.0,7.0,9.0
108,,8.0,0.0,9.0,9.0
109,,5.0,1.0,4.0,9.0
110,32500.0,9.0,1.0,7.0,8.0
111,40000.0,8.0,3.0,6.0,9.0
112,,8.0,1.0,7.0,10.0
113,30000.0,5.0,,7.0,9.0
114,,,,,5.0
115,90000.0,8.0,,8.0,9.0
116,,6.0,0.0,5.0,6.0
117,,,4.0,,8.0
118,,9.0,2.0,5.0,9.0
119,,10.0,,10.0,
120,,8.0,,10.0,
121,,10.0,,6.0,10.0
122,,6.0,4.0,7.0,10.0
123,115000.0,7.0,,9.0,9.0
124,,,0.0,,7.0
125,93000.0,7.0,,5.0,8.0
126,25806.451612903198,4.0,,5.0,9.0
127,,8.0,,3.0,
128,,8.0,,7.0,
129,,7.0,,8.0,
130,,5.0,1.0,6.0,8.0
131,,8.0,,8.0,9.0
132,55107.5268817204,8.0,,6.0,7.0
133,14682.131845544,6.0,0.0,5.0,9.0
134,92500.0,8.0,2.0,7.0,9.0
135,32500.0,8.0,,4.0,10.0
136,,10.0,,9.0,9.0
137,,10.0,,10.0,
138,,8.0,,8.0,
139,,10.0,,10.0,
140,,8.0,,8.0,
141,,7.0,,,
142,,6.0,7.0,7.0,9.0
143,43750.0,5.0,2.0,4.0,8.0
144,,10.0,,8.0,
145,,6.0,2.0,7.0,
146,51282.051282051296,10.0,,10.0,10.0
147,,,,,
148,2150.5376344086,9.0,0.0,7.0,9.0
149,113750.0,9.0,,8.0,8.0
150,,10.0,,8.0,
151,,,,,
152,107816.711590297,10.0,,9.0,
153,,4.0,,4.0,8.0
154,,3.0,1.0,0.0,4.0
155,,10.0,,10.0,8.0
156,80000.0,7.0,,7.0,8.0
157,100297.0,8.0,,9.0,10.0
158,46236.559139784906,9.0,1.0,7.0,8.0
159,,9.0,3.0,6.0,9.0
160,,7.0,,7.0,
161,,3.0,1.0,7.0,9.0
162,25000.0,6.0,,6.0,7.0
163,,9.0,,8.0,
164,,6.0,,7.0,
165,,7.0,,9.0,7.0
166,,8.0,2.0,5.0,8.0
167,,9.0,,9.0,7.0
168,,8.0,,7.0,8.0
169,100000.0,7.0,,5.0,7.0
170,,7.0,,,9.0
171,47511.3122171946,10.0,,10.0,
172,,,,,10.0
173,27000.0,6.0,0.0,7.0,10.0
174,,8.0,0.0,8.0,10.0
175,,7.0,,7.0,2.0
176,,3.0,3.0,3.0,8.0
177,120000.0,10.0,,10.0,5.0
178,,,,,8.0
179,,8.0,,9.0,9.0
180,60000.0,9.0,0.0,9.0,9.0
181,,8.0,,6.0,8.0
182,131250.0,10.0,,9.0,8.0
183,6606.95933049479,8.0,,8.0,8.0
184,,10.0,,8.0,10.0
185,,4.0,,6.0,8.0
186,,,,,
187,,10.0,,10.0,
188,,,,,
189,,10.0,,10.0,10.0
190,,5.0,1.0,5.0,8.0
191,10752.688172043001,8.0,0.0,7.0,10.0
192,87121.2121212121,6.0,0.0,4.0,8.0
193,,9.0,,8.0,10.0
194,,7.0,,6.0,
195,66000.0,7.0,,7.0,8.0
196,,,,,9.0
197,,8.0,,9.0,10.0
198,146000.0,8.0,4.0,7.0,9.0
199,,6.0,0.0,5.0,
200,,8.0,,8.0,
201,,6.0,,3.0,
202,,9.0,1.0,9.0,
203,,7.0,,7.0,
204,,8.0,,7.0,
205,,,,,
206,62121.2121212121,6.0,,4.0,7.0
207,,7.0,1.0,4.0,9.0
208,,8.0,,,
