"Test Scores","Satisfactory"
79.54697697756154,"Yes"
72.26043518970995,"Yes"
72.71446542534507,"Yes"
78.68101928840667,"Yes"
71.4540773650214,"Yes"
74.18233770828972,"Yes"
76.52238559955478,"Yes"
76.17844340790074,"Yes"
65.73261944318995,"No"
67.4807167540162,"No"
81.98658469854699,"Yes"
72.37304387993612,"Yes"
96.14630466815896,"Yes"
77.11857253147589,"Yes"
85.88034823867065,"Yes"
78.23301735387044,"Yes"
60.074489821254105,"No"
82.16879970854707,"Yes"
72.89500602967172,"Yes"
61.40526388594135,"No"
72.97092694629765,"Yes"
87.05406628801215,"Yes"
55.101410818334685,"No"
71.47547160846266,"Yes"
89.2137934280259,"Yes"
69.74402531944827,"No"
78.53667913410483,"Yes"
74.92326298006401,"Yes"
72.93111664034797,"Yes"
86.71601471952579,"Yes"
92.15045893934273,"Yes"
68.92411162826912,"No"
82.00029006577242,"Yes"
75.80053446258528,"Yes"
94.29373644293375,"Yes"
76.22517444717674,"Yes"
89.05161327400535,"Yes"
73.63192187522493,"Yes"
91.07738309862253,"Yes"
90.66813096635097,"Yes"
87.63120037717968,"Yes"
93.52483071386635,"Yes"
83.75946038426864,"Yes"
91.34012001711268,"Yes"
78.57978448175743,"Yes"
84.8018487322543,"Yes"
66.7282536508994,"No"
94.05924120044513,"Yes"
73.92317130408915,"Yes"
68.82261078581584,"No"
80.81125072373382,"Yes"
70.4830903510773,"Yes"
73.7242033014932,"Yes"
78.20330897366725,"Yes"
89.97553397500373,"Yes"
79.62635220698111,"Yes"
75.22291708221087,"Yes"
78.20230873474938,"Yes"
75.74387982401329,"Yes"
79.2667238615609,"Yes"
89.93645324244466,"Yes"
77.58886300999788,"Yes"
73.96543164365194,"Yes"
90.42529137346811,"Yes"
85.33073856927683,"Yes"
78.98181211857873,"Yes"
84.14391847915275,"Yes"
84.39430593038794,"Yes"
74.5928269774997,"Yes"
75.86126213069846,"Yes"
77.54464602919572,"Yes"
68.89080505129059,"No"
76.84302929335524,"Yes"
75.54786722213616,"Yes"
71.45803371368042,"Yes"
83.17909747337242,"Yes"
69.81699209000179,"No"
78.67341663726339,"Yes"
93.71527798478651,"Yes"
82.42453867379196,"Yes"
79.50199977943039,"Yes"
90.34648464596283,"Yes"
71.74331783005182,"Yes"
74.25653701373227,"Yes"
90.96144392439283,"Yes"
72.06591305015186,"Yes"
65.4548864263997,"No"
69.54926219360695,"No"
74.12677327806625,"Yes"
90.51883394257666,"Yes"
75.76342018962819,"Yes"
78.97480382685659,"Yes"
68.84836312687001,"No"
88.50269520095745,"Yes"
92.9496777645143,"Yes"
93.24952220276694,"Yes"
83.15381554177782,"Yes"
92.3334323720603,"Yes"
75.80140285550674,"Yes"
94.72163728590738,"Yes"
