,status,country
0,Cases,Guinea
1,Cases,Guinea
2,Cases,Guinea
3,Cases,Guinea
4,Cases,Guinea
5,Cases,Guinea
6,Cases,Guinea
7,Cases,Guinea
8,Cases,Guinea
9,Cases,Guinea
10,Cases,Guinea
11,Cases,Guinea
12,Cases,Guinea
13,Cases,Guinea
14,Cases,Guinea
15,Cases,Guinea
16,Cases,Guinea
17,Cases,Guinea
18,Cases,Guinea
19,Cases,Guinea
20,Cases,Guinea
21,Cases,Guinea
22,Cases,Guinea
23,Cases,Guinea
24,Cases,Guinea
25,Cases,Guinea
26,Cases,Guinea
27,Cases,Guinea
28,Cases,Guinea
29,Cases,Guinea
30,Cases,Guinea
31,Cases,Guinea
32,Cases,Guinea
33,Cases,Guinea
34,Cases,Guinea
35,Cases,Guinea
36,Cases,Guinea
37,Cases,Guinea
38,Cases,Guinea
39,Cases,Guinea
40,Cases,Guinea
41,Cases,Guinea
42,Cases,Guinea
43,Cases,Guinea
44,Cases,Guinea
45,Cases,Guinea
46,Cases,Guinea
47,Cases,Guinea
48,Cases,Guinea
49,Cases,Guinea
50,Cases,Guinea
51,Cases,Guinea
52,Cases,Guinea
53,Cases,Guinea
54,Cases,Guinea
55,Cases,Guinea
56,Cases,Guinea
57,Cases,Guinea
58,Cases,Guinea
59,Cases,Guinea
60,Cases,Guinea
61,Cases,Guinea
62,Cases,Guinea
63,Cases,Guinea
64,Cases,Guinea
65,Cases,Guinea
66,Cases,Guinea
67,Cases,Guinea
68,Cases,Guinea
69,Cases,Guinea
70,Cases,Guinea
71,Cases,Guinea
72,Cases,Guinea
73,Cases,Guinea
74,Cases,Guinea
75,Cases,Guinea
76,Cases,Guinea
77,Cases,Guinea
78,Cases,Guinea
79,Cases,Guinea
80,Cases,Guinea
81,Cases,Guinea
82,Cases,Guinea
83,Cases,Guinea
84,Cases,Guinea
85,Cases,Guinea
86,Cases,Guinea
87,Cases,Guinea
88,Cases,Guinea
89,Cases,Guinea
90,Cases,Guinea
91,Cases,Guinea
92,Cases,Guinea
93,Cases,Guinea
94,Cases,Guinea
95,Cases,Guinea
96,Cases,Guinea
97,Cases,Guinea
98,Cases,Guinea
99,Cases,Guinea
100,Cases,Guinea
101,Cases,Guinea
102,Cases,Guinea
103,Cases,Guinea
104,Cases,Guinea
105,Cases,Guinea
106,Cases,Guinea
107,Cases,Guinea
108,Cases,Guinea
109,Cases,Guinea
110,Cases,Guinea
111,Cases,Guinea
112,Cases,Guinea
113,Cases,Guinea
114,Cases,Guinea
115,Cases,Guinea
116,Cases,Guinea
117,Cases,Guinea
118,Cases,Guinea
119,Cases,Guinea
120,Cases,Guinea
121,Cases,Guinea
122,Cases,Liberia
123,Cases,Liberia
124,Cases,Liberia
125,Cases,Liberia
126,Cases,Liberia
127,Cases,Liberia
128,Cases,Liberia
129,Cases,Liberia
130,Cases,Liberia
131,Cases,Liberia
132,Cases,Liberia
133,Cases,Liberia
134,Cases,Liberia
135,Cases,Liberia
136,Cases,Liberia
137,Cases,Liberia
138,Cases,Liberia
139,Cases,Liberia
140,Cases,Liberia
141,Cases,Liberia
142,Cases,Liberia
143,Cases,Liberia
144,Cases,Liberia
145,Cases,Liberia
146,Cases,Liberia
147,Cases,Liberia
148,Cases,Liberia
149,Cases,Liberia
150,Cases,Liberia
151,Cases,Liberia
152,Cases,Liberia
153,Cases,Liberia
154,Cases,Liberia
155,Cases,Liberia
156,Cases,Liberia
157,Cases,Liberia
158,Cases,Liberia
159,Cases,Liberia
160,Cases,Liberia
161,Cases,Liberia
162,Cases,Liberia
163,Cases,Liberia
164,Cases,Liberia
165,Cases,Liberia
166,Cases,Liberia
167,Cases,Liberia
168,Cases,Liberia
169,Cases,Liberia
170,Cases,Liberia
171,Cases,Liberia
172,Cases,Liberia
173,Cases,Liberia
174,Cases,Liberia
175,Cases,Liberia
176,Cases,Liberia
177,Cases,Liberia
178,Cases,Liberia
179,Cases,Liberia
180,Cases,Liberia
181,Cases,Liberia
182,Cases,Liberia
183,Cases,Liberia
184,Cases,Liberia
185,Cases,Liberia
186,Cases,Liberia
187,Cases,Liberia
188,Cases,Liberia
189,Cases,Liberia
190,Cases,Liberia
191,Cases,Liberia
192,Cases,Liberia
193,Cases,Liberia
194,Cases,Liberia
195,Cases,Liberia
196,Cases,Liberia
197,Cases,Liberia
198,Cases,Liberia
199,Cases,Liberia
200,Cases,Liberia
201,Cases,Liberia
202,Cases,Liberia
203,Cases,Liberia
204,Cases,Liberia
205,Cases,Liberia
206,Cases,Liberia
207,Cases,Liberia
208,Cases,Liberia
209,Cases,Liberia
210,Cases,Liberia
211,Cases,Liberia
212,Cases,Liberia
213,Cases,Liberia
214,Cases,Liberia
215,Cases,Liberia
216,Cases,Liberia
217,Cases,Liberia
218,Cases,Liberia
219,Cases,Liberia
220,Cases,Liberia
221,Cases,Liberia
222,Cases,Liberia
223,Cases,Liberia
224,Cases,Liberia
225,Cases,Liberia
226,Cases,Liberia
227,Cases,Liberia
228,Cases,Liberia
229,Cases,Liberia
230,Cases,Liberia
231,Cases,Liberia
232,Cases,Liberia
233,Cases,Liberia
234,Cases,Liberia
235,Cases,Liberia
236,Cases,Liberia
237,Cases,Liberia
238,Cases,Liberia
239,Cases,Liberia
240,Cases,Liberia
241,Cases,Liberia
242,Cases,Liberia
243,Cases,Liberia
244,Cases,SierraLeone
245,Cases,SierraLeone
246,Cases,SierraLeone
247,Cases,SierraLeone
248,Cases,SierraLeone
249,Cases,SierraLeone
250,Cases,SierraLeone
251,Cases,SierraLeone
252,Cases,SierraLeone
253,Cases,SierraLeone
254,Cases,SierraLeone
255,Cases,SierraLeone
256,Cases,SierraLeone
257,Cases,SierraLeone
258,Cases,SierraLeone
259,Cases,SierraLeone
260,Cases,SierraLeone
261,Cases,SierraLeone
262,Cases,SierraLeone
263,Cases,SierraLeone
264,Cases,SierraLeone
265,Cases,SierraLeone
266,Cases,SierraLeone
267,Cases,SierraLeone
268,Cases,SierraLeone
269,Cases,SierraLeone
270,Cases,SierraLeone
271,Cases,SierraLeone
272,Cases,SierraLeone
273,Cases,SierraLeone
274,Cases,SierraLeone
