Date (MM/DD/YYYY),  Carrier Code,Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),Unnamed: 17
2015-07-01,  WN,103.0,N8607M,MDW,06:30,06:52,165.0,147.0,22.0,07:01,9.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,144.0,N8609A,SAN,20:55,20:50,170.0,158.0,-5.0,21:03,13.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,178.0,N646SW,ELP,20:30,20:45,90.0,80.0,15.0,20:55,10.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,232.0,N204WN,ATL,05:45,05:49,135.0,137.0,4.0,06:01,12.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,238.0,N233LV,DAL,12:30,12:34,55.0,48.0,4.0,12:41,7.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,285.0,N526SW,DAL,09:25,09:20,55.0,51.0,-5.0,09:27,7.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,311.0,N734SA,MDW,15:05,15:49,150.0,146.0,44.0,15:57,8.0,6.0,0.0,0.0,0.0,34.0,
2015-07-01,  WN,329.0,N526SW,HOU,16:00,18:07,50.0,53.0,127.0,18:18,11.0,0.0,0.0,3.0,0.0,127.0,
2015-07-01,  WN,341.0,N297WN,OAK,18:00,18:30,225.0,211.0,30.0,18:46,16.0,0.0,0.0,0.0,0.0,16.0,
2015-07-01,  WN,356.0,N648SW,PHX,20:10,21:45,140.0,128.0,95.0,21:54,9.0,6.0,0.0,0.0,0.0,77.0,
2015-07-01,  WN,359.0,N205WN,EWR,06:45,06:47,225.0,213.0,2.0,06:55,8.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,419.0,N780SW,MDW,18:15,19:21,155.0,145.0,66.0,19:28,7.0,7.0,0.0,0.0,0.0,49.0,
2015-07-01,  WN,454.0,N657SW,HOU,11:30,13:47,50.0,74.0,137.0,14:14,27.0,0.0,0.0,24.0,0.0,137.0,
2015-07-01,  WN,554.0,N7732A,DEN,20:25,21:05,135.0,129.0,40.0,21:14,9.0,0.0,0.0,0.0,0.0,34.0,
2015-07-01,  WN,556.0,N8619F,BWI,06:00,05:59,200.0,187.0,-1.0,06:07,8.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,604.0,N8614M,DEN,14:50,15:02,130.0,126.0,12.0,15:14,12.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,622.0,N795SW,MSY,07:20,07:19,85.0,71.0,-1.0,07:26,7.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,626.0,N952WN,HOU,05:35,05:33,45.0,49.0,-2.0,05:47,14.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,657.0,N793SA,DAL,17:25,18:14,55.0,58.0,49.0,18:29,15.0,0.0,0.0,3.0,0.0,49.0,
2015-07-01,  WN,658.0,N967WN,DEN,10:45,10:42,130.0,118.0,-3.0,10:52,10.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,664.0,N969WN,SJC,06:35,06:34,220.0,195.0,-1.0,06:45,11.0,0.0,0.0,0.0,0.0,0.0,
2015-07-01,  WN,686.0,N8660A,MCO,17:25,17:44,155.0,155.0,19.0,17:52,8.0,8.0,0.0,0.0,0.0,11.0,
2015-07-01,  WN,709.0,N607SW,FLL,11:10,12:01,165.0,159.0,51.0,12:10,9.0,18.0,0.0,0.0,0.0,27.0,
