,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),Unnamed: 17
0,  WN,07/01/2015,103.0,N8607M,MDW,06:30,06:52,165.0,147.0,22.0,07:01,9.0,0.0,0.0,0.0,0.0,0.0,
1,  WN,07/01/2015,144.0,N8609A,SAN,20:55,20:50,170.0,158.0,-5.0,21:03,13.0,0.0,0.0,0.0,0.0,0.0,
2,  WN,07/01/2015,178.0,N646SW,ELP,20:30,20:45,90.0,80.0,15.0,20:55,10.0,0.0,0.0,0.0,0.0,0.0,
3,  WN,07/01/2015,232.0,N204WN,ATL,05:45,05:49,135.0,137.0,4.0,06:01,12.0,0.0,0.0,0.0,0.0,0.0,
4,  WN,07/01/2015,238.0,N233LV,DAL,12:30,12:34,55.0,48.0,4.0,12:41,7.0,0.0,0.0,0.0,0.0,0.0,
5,  WN,07/01/2015,285.0,N526SW,DAL,09:25,09:20,55.0,51.0,-5.0,09:27,7.0,0.0,0.0,0.0,0.0,0.0,
6,  WN,07/01/2015,311.0,N734SA,MDW,15:05,15:49,150.0,146.0,44.0,15:57,8.0,6.0,0.0,0.0,0.0,34.0,
7,  WN,07/01/2015,329.0,N526SW,HOU,16:00,18:07,50.0,53.0,127.0,18:18,11.0,0.0,0.0,3.0,0.0,127.0,
8,  WN,07/01/2015,341.0,N297WN,OAK,18:00,18:30,225.0,211.0,30.0,18:46,16.0,0.0,0.0,0.0,0.0,16.0,
9,  WN,07/01/2015,356.0,N648SW,PHX,20:10,21:45,140.0,128.0,95.0,21:54,9.0,6.0,0.0,0.0,0.0,77.0,
10,  WN,07/01/2015,359.0,N205WN,EWR,06:45,06:47,225.0,213.0,2.0,06:55,8.0,0.0,0.0,0.0,0.0,0.0,
11,  WN,07/01/2015,419.0,N780SW,MDW,18:15,19:21,155.0,145.0,66.0,19:28,7.0,7.0,0.0,0.0,0.0,49.0,
12,  WN,07/01/2015,454.0,N657SW,HOU,11:30,13:47,50.0,74.0,137.0,14:14,27.0,0.0,0.0,24.0,0.0,137.0,
13,  WN,07/01/2015,554.0,N7732A,DEN,20:25,21:05,135.0,129.0,40.0,21:14,9.0,0.0,0.0,0.0,0.0,34.0,
14,  WN,07/01/2015,556.0,N8619F,BWI,06:00,05:59,200.0,187.0,-1.0,06:07,8.0,0.0,0.0,0.0,0.0,0.0,
15,  WN,07/01/2015,604.0,N8614M,DEN,14:50,15:02,130.0,126.0,12.0,15:14,12.0,0.0,0.0,0.0,0.0,0.0,
16,  WN,07/01/2015,622.0,N795SW,MSY,07:20,07:19,85.0,71.0,-1.0,07:26,7.0,0.0,0.0,0.0,0.0,0.0,
17,  WN,07/01/2015,626.0,N952WN,HOU,05:35,05:33,45.0,49.0,-2.0,05:47,14.0,0.0,0.0,0.0,0.0,0.0,
18,  WN,07/01/2015,657.0,N793SA,DAL,17:25,18:14,55.0,58.0,49.0,18:29,15.0,0.0,0.0,3.0,0.0,49.0,
19,  WN,07/01/2015,658.0,N967WN,DEN,10:45,10:42,130.0,118.0,-3.0,10:52,10.0,0.0,0.0,0.0,0.0,0.0,
20,  WN,07/01/2015,664.0,N969WN,SJC,06:35,06:34,220.0,195.0,-1.0,06:45,11.0,0.0,0.0,0.0,0.0,0.0,
21,  WN,07/01/2015,686.0,N8660A,MCO,17:25,17:44,155.0,155.0,19.0,17:52,8.0,8.0,0.0,0.0,0.0,11.0,
22,  WN,07/01/2015,709.0,N607SW,FLL,11:10,12:01,165.0,159.0,51.0,12:10,9.0,18.0,0.0,0.0,0.0,27.0,
23,  WN,07/01/2015,771.0,N252WN,HOU,18:40,18:42,50.0,49.0,2.0,18:52,10.0,0.0,0.0,0.0,0.0,0.0,
24,  WN,07/01/2015,801.0,N629SW,DAL,15:35,16:05,60.0,49.0,30.0,16:14,9.0,2.0,0.0,0.0,0.0,17.0,
25,  WN,07/01/2015,829.0,N636WN,BWI,17:10,17:38,205.0,212.0,28.0,17:46,8.0,0.0,0.0,7.0,0.0,28.0,
26,  WN,07/01/2015,836.0,N8325D,BNA,13:30,13:40,120.0,114.0,10.0,13:47,7.0,0.0,0.0,0.0,0.0,0.0,
27,  WN,07/01/2015,857.0,N602SW,DAL,10:30,10:30,55.0,51.0,0.0,10:37,7.0,0.0,0.0,0.0,0.0,0.0,
28,  WN,07/01/2015,862.0,N8320J,SJC,18:35,18:52,215.0,194.0,17.0,19:01,9.0,0.0,0.0,0.0,0.0,0.0,
29,  WN,07/01/2015,891.0,N528SW,LBB,16:20,16:16,70.0,61.0,-4.0,16:23,7.0,0.0,0.0,0.0,0.0,0.0,
30,  WN,07/01/2015,893.0,N251WN,LAS,05:35,05:37,165.0,148.0,2.0,05:48,11.0,0.0,0.0,0.0,0.0,0.0,
31,  WN,07/01/2015,1017.0,N261WN,DAL,06:30,00:00,60.0,0.0,0.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,
32,  WN,07/01/2015,1030.0,N8651A,PHX,12:25,12:22,140.0,122.0,-3.0,12:32,10.0,0.0,0.0,0.0,0.0,0.0,
33,  WN,07/01/2015,1249.0,N430WN,LAX,05:30,05:29,185.0,173.0,-1.0,05:43,14.0,0.0,0.0,0.0,0.0,0.0,
34,  WN,07/01/2015,1255.0,N602SW,BNA,05:10,05:07,120.0,122.0,-3.0,05:16,9.0,0.0,0.0,0.0,0.0,0.0,
35,  WN,07/01/2015,1403.0,N8320J,LAS,11:25,11:25,165.0,149.0,0.0,11:36,11.0,0.0,0.0,0.0,0.0,0.0,
36,  WN,07/01/2015,1694.0,N248WN,PHX,07:00,07:07,140.0,130.0,7.0,07:18,11.0,0.0,0.0,0.0,0.0,0.0,
37,  WN,07/01/2015,1901.0,N374SW,MCO,10:25,10:30,155.0,158.0,5.0,10:40,10.0,0.0,0.0,0.0,0.0,0.0,
38,  WN,07/01/2015,2263.0,N494WN,DAL,18:40,18:56,55.0,53.0,16.0,19:05,9.0,0.0,0.0,0.0,0.0,0.0,
39,  WN,07/01/2015,2284.0,N375SW,FLL,16:45,20:22,165.0,157.0,217.0,20:30,8.0,196.0,0.0,0.0,0.0,13.0,
40,  WN,07/01/2015,2495.0,N908WN,SNA,07:35,07:39,180.0,158.0,4.0,07:48,9.0,0.0,0.0,0.0,0.0,0.0,
41,  WN,07/01/2015,2876.0,N467WN,STL,13:25,13:23,120.0,117.0,-2.0,13:34,11.0,0.0,0.0,0.0,0.0,0.0,
42,  WN,07/01/2015,2950.0,N720WN,DAL,14:05,14:11,55.0,68.0,6.0,14:31,20.0,6.0,0.0,13.0,0.0,0.0,
43,  WN,07/01/2015,3047.0,N8322X,LAS,20:20,21:02,165.0,152.0,42.0,21:11,9.0,0.0,0.0,0.0,0.0,29.0,
44,  WN,07/01/2015,3054.0,N467WN,PDX,18:45,18:57,245.0,233.0,12.0,19:09,12.0,0.0,0.0,0.0,0.0,0.0,
45,  WN,07/01/2015,3304.0,N486WN,ATL,18:10,19:09,135.0,142.0,59.0,19:24,15.0,0.0,0.0,57.0,0.0,9.0,
46,  WN,07/01/2015,3307.0,N621SW,HRL,09:15,09:14,60.0,60.0,-1.0,09:24,10.0,0.0,0.0,0.0,0.0,0.0,
47,  WN,07/01/2015,3933.0,N7749B,ELP,10:40,10:39,90.0,83.0,-1.0,10:51,12.0,0.0,0.0,0.0,0.0,0.0,
48,  WN,07/01/2015,3937.0,N229WN,DAL,08:10,08:12,60.0,57.0,2.0,08:19,7.0,0.0,0.0,0.0,0.0,0.0,
49,  WN,07/01/2015,4195.0,N522SW,ELP,14:25,14:25,90.0,89.0,0.0,14:42,17.0,0.0,0.0,0.0,0.0,0.0,
50,  WN,07/01/2015,4551.0,N642WN,DEN,08:30,08:33,125.0,125.0,3.0,08:45,12.0,0.0,0.0,0.0,0.0,0.0,
51,  WN,07/01/2015,4621.0,N736SA,SAN,11:35,12:00,175.0,152.0,25.0,12:10,10.0,0.0,0.0,0.0,0.0,0.0,
52,  WN,07/01/2015,4630.0,N918WN,DEN,05:50,05:52,130.0,127.0,2.0,06:04,12.0,0.0,0.0,0.0,0.0,0.0,
53,  WN,07/01/2015,4819.0,N7707C,PHX,17:25,17:22,150.0,127.0,-3.0,17:33,11.0,0.0,0.0,0.0,0.0,0.0,
54,  WN,07/01/2015,4913.0,N781WN,TPA,11:35,11:50,140.0,132.0,15.0,11:57,7.0,0.0,0.0,0.0,0.0,0.0,
55,  WN,07/01/2015,4924.0,N757LV,LAX,16:00,16:15,185.0,169.0,15.0,16:27,12.0,0.0,0.0,0.0,0.0,0.0,
56,  WN,07/01/2015,4927.0,N8609A,DCA,12:40,12:38,195.0,178.0,-2.0,12:49,11.0,0.0,0.0,0.0,0.0,0.0,
57,  WN,07/01/2015,5888.0,N521SW,DAL,20:00,20:51,55.0,57.0,51.0,21:02,11.0,0.0,0.0,2.0,0.0,51.0,
58,  WN,07/02/2015,103.0,N8604K,MDW,06:30,06:31,165.0,161.0,1.0,06:56,25.0,0.0,0.0,0.0,0.0,0.0,
59,  WN,07/02/2015,144.0,N8633A,SAN,20:55,21:31,170.0,158.0,36.0,21:43,12.0,24.0,0.0,0.0,0.0,0.0,
60,  WN,07/02/2015,178.0,N636WN,ELP,20:30,21:45,90.0,86.0,75.0,21:53,8.0,0.0,0.0,0.0,0.0,71.0,
61,  WN,07/02/2015,232.0,N913WN,ATL,05:45,05:49,135.0,134.0,4.0,05:57,8.0,0.0,0.0,0.0,0.0,0.0,
62,  WN,07/02/2015,238.0,N915WN,DAL,12:30,12:29,55.0,46.0,-1.0,12:34,5.0,0.0,0.0,0.0,0.0,0.0,
63,  WN,07/02/2015,285.0,N522SW,DAL,09:25,09:22,55.0,51.0,-3.0,09:32,10.0,0.0,0.0,0.0,0.0,0.0,
64,  WN,07/02/2015,311.0,N470WN,MDW,15:05,15:07,150.0,157.0,2.0,15:16,9.0,0.0,0.0,0.0,0.0,0.0,
65,  WN,07/02/2015,329.0,N522SW,HOU,16:00,15:59,50.0,47.0,-1.0,16:07,8.0,0.0,0.0,0.0,0.0,0.0,
66,  WN,07/02/2015,341.0,N916WN,OAK,18:00,18:57,225.0,205.0,57.0,19:05,8.0,1.0,0.0,0.0,0.0,36.0,
67,  WN,07/02/2015,356.0,N620SW,PHX,20:10,21:36,140.0,132.0,86.0,21:46,10.0,0.0,0.0,0.0,0.0,78.0,
68,  WN,07/02/2015,359.0,N7752B,EWR,06:45,06:43,225.0,222.0,-2.0,06:53,10.0,0.0,0.0,0.0,0.0,0.0,
69,  WN,07/02/2015,419.0,N207WN,MDW,18:15,18:18,155.0,147.0,3.0,18:27,9.0,0.0,0.0,0.0,0.0,0.0,
70,  WN,07/02/2015,454.0,N526SW,HOU,11:30,11:26,50.0,45.0,-4.0,11:34,8.0,0.0,0.0,0.0,0.0,0.0,
71,  WN,07/02/2015,554.0,N733SA,DEN,20:25,20:49,135.0,142.0,24.0,21:01,12.0,4.0,0.0,7.0,0.0,20.0,
72,  WN,07/02/2015,556.0,N8648A,BWI,06:00,06:20,200.0,187.0,20.0,06:29,9.0,0.0,0.0,0.0,0.0,0.0,
73,  WN,07/02/2015,604.0,N8649A,DEN,14:50,14:50,130.0,133.0,0.0,15:06,16.0,0.0,0.0,0.0,0.0,0.0,
