,Temperature,Date
0,46.2,20100101 00:00
1,44.6,20100101 01:00
2,44.1,20100101 02:00
3,43.8,20100101 03:00
4,43.5,20100101 04:00
5,43.0,20100101 05:00
6,43.1,20100101 06:00
7,42.3,20100101 07:00
8,42.5,20100101 08:00
9,45.9,20100101 09:00
10,49.4,20100101 10:00
11,52.4,20100101 11:00
12,54.9,20100101 12:00
13,57.1,20100101 13:00
14,58.4,20100101 14:00
15,59.1,20100101 15:00
16,59.1,20100101 16:00
17,58.0,20100101 17:00
18,54.5,20100101 18:00
19,51.3,20100101 19:00
20,49.2,20100101 20:00
21,48.1,20100101 21:00
22,47.2,20100101 22:00
23,46.4,20100101 23:00
24,46.5,20100102 00:00
25,44.9,20100102 01:00
26,44.4,20100102 02:00
27,44.1,20100102 03:00
28,43.9,20100102 04:00
29,43.3,20100102 05:00
30,43.5,20100102 06:00
31,42.6,20100102 07:00
32,42.8,20100102 08:00
33,46.3,20100102 09:00
34,49.9,20100102 10:00
35,53.0,20100102 11:00
36,55.5,20100102 12:00
37,57.7,20100102 13:00
38,59.0,20100102 14:00
39,59.7,20100102 15:00
40,59.7,20100102 16:00
41,58.6,20100102 17:00
42,55.1,20100102 18:00
43,51.8,20100102 19:00
44,49.8,20100102 20:00
45,48.6,20100102 21:00
46,47.6,20100102 22:00
47,46.8,20100102 23:00
48,46.8,20100103 00:00
49,45.2,20100103 01:00
50,44.7,20100103 02:00
51,44.5,20100103 03:00
52,44.1,20100103 04:00
53,43.4,20100103 05:00
54,43.7,20100103 06:00
55,42.8,20100103 07:00
56,43.0,20100103 08:00
57,46.4,20100103 09:00
58,49.9,20100103 10:00
59,53.1,20100103 11:00
60,55.6,20100103 12:00
61,57.8,20100103 13:00
62,59.1,20100103 14:00
63,59.8,20100103 15:00
64,59.8,20100103 16:00
65,58.6,20100103 17:00
66,55.2,20100103 18:00
67,51.8,20100103 19:00
68,49.7,20100103 20:00
69,48.5,20100103 21:00
70,47.5,20100103 22:00
71,46.6,20100103 23:00
72,46.6,20100104 00:00
73,45.0,20100104 01:00
74,44.5,20100104 02:00
75,44.3,20100104 03:00
76,43.9,20100104 04:00
77,43.2,20100104 05:00
78,43.4,20100104 06:00
79,42.6,20100104 07:00
80,42.9,20100104 08:00
81,46.3,20100104 09:00
82,49.8,20100104 10:00
83,52.9,20100104 11:00
84,55.4,20100104 12:00
85,57.6,20100104 13:00
86,59.0,20100104 14:00
87,59.7,20100104 15:00
88,59.7,20100104 16:00
89,58.5,20100104 17:00
90,55.1,20100104 18:00
91,51.6,20100104 19:00
92,49.5,20100104 20:00
93,48.3,20100104 21:00
94,47.3,20100104 22:00
95,46.4,20100104 23:00
96,46.5,20100105 00:00
97,44.9,20100105 01:00
98,44.5,20100105 02:00
99,44.3,20100105 03:00
100,43.9,20100105 04:00
101,43.2,20100105 05:00
102,43.5,20100105 06:00
103,42.7,20100105 07:00
104,43.0,20100105 08:00
105,46.4,20100105 09:00
106,49.9,20100105 10:00
107,53.0,20100105 11:00
108,55.6,20100105 12:00
109,57.8,20100105 13:00
110,59.2,20100105 14:00
111,59.9,20100105 15:00
112,59.9,20100105 16:00
113,58.7,20100105 17:00
114,55.3,20100105 18:00
115,51.8,20100105 19:00
116,49.7,20100105 20:00
117,48.5,20100105 21:00
118,47.5,20100105 22:00
119,46.5,20100105 23:00
