Date,Temperature,DewPoint,Pressure
2010-01-01 00:00:00,46.2,37.5,1.0
2010-01-01 01:00:00,44.6,37.1,1.0
2010-01-01 02:00:00,44.1,36.9,1.0
2010-01-01 03:00:00,43.8,36.9,1.0
2010-01-01 04:00:00,43.5,36.8,1.0
2010-01-01 05:00:00,43.0,36.5,1.0
2010-01-01 06:00:00,43.1,36.3,1.0
2010-01-01 07:00:00,42.3,35.9,1.0
2010-01-01 08:00:00,42.5,36.2,1.0
2010-01-01 09:00:00,45.9,37.8,1.0
2010-01-01 10:00:00,49.4,38.3,1.0
2010-01-01 11:00:00,52.4,38.3,1.0
2010-01-01 12:00:00,54.9,38.2,1.0
2010-01-01 13:00:00,57.1,38.5,1.0
2010-01-01 14:00:00,58.4,38.2,1.0
2010-01-01 15:00:00,59.1,38.3,1.0
2010-01-01 16:00:00,59.1,38.3,1.0
2010-01-01 17:00:00,58.0,38.7,1.0
2010-01-01 18:00:00,54.5,38.2,1.0
2010-01-01 19:00:00,51.3,38.5,1.0
2010-01-01 20:00:00,49.2,38.4,1.0
2010-01-01 21:00:00,48.1,38.5,1.0
2010-01-01 22:00:00,47.2,38.5,1.0
2010-01-01 23:00:00,46.4,38.4,1.0
2010-01-02 00:00:00,46.5,38.2,1.0
2010-01-02 01:00:00,44.9,37.8,1.0
2010-01-02 02:00:00,44.4,37.7,1.0
2010-01-02 03:00:00,44.1,37.6,1.0
2010-01-02 04:00:00,43.9,37.6,1.0
2010-01-02 05:00:00,43.3,37.3,1.0
2010-01-02 06:00:00,43.5,37.0,1.0
2010-01-02 07:00:00,42.6,36.6,1.0
2010-01-02 08:00:00,42.8,36.9,1.0
2010-01-02 09:00:00,46.3,38.5,1.0
2010-01-02 10:00:00,49.9,39.0,1.0
2010-01-02 11:00:00,53.0,39.1,1.0
2010-01-02 12:00:00,55.5,39.0,1.0
2010-01-02 13:00:00,57.7,39.3,1.0
2010-01-02 14:00:00,59.0,39.0,1.0
2010-01-02 15:00:00,59.7,38.9,1.0
2010-01-02 16:00:00,59.7,39.0,1.0
2010-01-02 17:00:00,58.6,39.3,1.0
2010-01-02 18:00:00,55.1,38.7,1.0
2010-01-02 19:00:00,51.8,39.1,1.0
2010-01-02 20:00:00,49.8,38.8,1.0
2010-01-02 21:00:00,48.6,38.9,1.0
2010-01-02 22:00:00,47.6,38.9,1.0
2010-01-02 23:00:00,46.8,38.7,1.0
2010-01-03 00:00:00,46.8,38.4,1.0
2010-01-03 01:00:00,45.2,38.1,1.0
2010-01-03 02:00:00,44.7,37.8,1.0
2010-01-03 03:00:00,44.5,37.8,1.0
2010-01-03 04:00:00,44.1,37.7,1.0
2010-01-03 05:00:00,43.4,37.3,1.0
2010-01-03 06:00:00,43.7,37.0,1.0
2010-01-03 07:00:00,42.8,36.6,1.0
2010-01-03 08:00:00,43.0,36.8,1.0
2010-01-03 09:00:00,46.4,38.4,1.0
2010-01-03 10:00:00,49.9,38.9,1.0
2010-01-03 11:00:00,53.1,39.1,1.0
2010-01-03 12:00:00,55.6,38.9,1.0
2010-01-03 13:00:00,57.8,39.2,1.0
2010-01-03 14:00:00,59.1,38.8,1.0
2010-01-03 15:00:00,59.8,38.8,1.0
2010-01-03 16:00:00,59.8,38.8,1.0
2010-01-03 17:00:00,58.6,39.0,1.0
2010-01-03 18:00:00,55.2,38.5,1.0
2010-01-03 19:00:00,51.8,38.7,1.0
2010-01-03 20:00:00,49.7,38.5,1.0
2010-01-03 21:00:00,48.5,38.6,1.0
2010-01-03 22:00:00,47.5,38.6,1.0
2010-01-03 23:00:00,46.6,38.4,1.0
2010-01-04 00:00:00,46.6,38.1,1.0
2010-01-04 01:00:00,45.0,37.8,1.0
2010-01-04 02:00:00,44.5,37.4,1.0
2010-01-04 03:00:00,44.3,37.5,1.0
2010-01-04 04:00:00,43.9,37.3,1.0
2010-01-04 05:00:00,43.2,36.9,1.0
2010-01-04 06:00:00,43.4,36.6,1.0
2010-01-04 07:00:00,42.6,36.3,1.0
2010-01-04 08:00:00,42.9,36.6,1.0
2010-01-04 09:00:00,46.3,38.2,1.0
2010-01-04 10:00:00,49.8,38.6,1.0
2010-01-04 11:00:00,52.9,38.8,1.0
2010-01-04 12:00:00,55.4,38.7,1.0
2010-01-04 13:00:00,57.6,38.9,1.0
2010-01-04 14:00:00,59.0,38.6,1.0
2010-01-04 15:00:00,59.7,38.6,1.0
2010-01-04 16:00:00,59.7,38.5,1.0
2010-01-04 17:00:00,58.5,38.8,1.0
2010-01-04 18:00:00,55.1,38.3,1.0
2010-01-04 19:00:00,51.6,38.5,1.0
2010-01-04 20:00:00,49.5,38.3,1.0
2010-01-04 21:00:00,48.3,38.3,1.0
2010-01-04 22:00:00,47.3,38.4,1.0
2010-01-04 23:00:00,46.4,38.2,1.0
2010-01-05 00:00:00,46.5,38.0,1.0
2010-01-05 01:00:00,44.9,37.6,1.0
2010-01-05 02:00:00,44.5,37.4,1.0
2010-01-05 03:00:00,44.3,37.5,1.0
2010-01-05 04:00:00,43.9,37.3,1.0
2010-01-05 05:00:00,43.2,36.9,1.0
2010-01-05 06:00:00,43.5,36.7,1.0
2010-01-05 07:00:00,42.7,36.5,1.0
2010-01-05 08:00:00,43.0,36.8,1.0
2010-01-05 09:00:00,46.4,38.4,1.0
2010-01-05 10:00:00,49.9,38.8,1.0
2010-01-05 11:00:00,53.0,39.0,1.0
2010-01-05 12:00:00,55.6,38.9,1.0
2010-01-05 13:00:00,57.8,39.0,1.0
2010-01-05 14:00:00,59.2,38.7,1.0
2010-01-05 15:00:00,59.9,38.6,1.0
2010-01-05 16:00:00,59.9,38.5,1.0
2010-01-05 17:00:00,58.7,38.9,1.0
2010-01-05 18:00:00,55.3,38.4,1.0
2010-01-05 19:00:00,51.8,38.7,1.0
2010-01-05 20:00:00,49.7,38.4,1.0
2010-01-05 21:00:00,48.5,38.4,1.0
2010-01-05 22:00:00,47.5,38.5,1.0
2010-01-05 23:00:00,46.5,38.2,1.0
2010-01-06 00:00:00,46.8,38.0,1.0
2010-01-06 01:00:00,45.2,37.5,1.0
2010-01-06 02:00:00,44.6,37.2,1.0
2010-01-06 03:00:00,44.4,37.3,1.0
2010-01-06 04:00:00,43.9,37.1,1.0
2010-01-06 05:00:00,43.2,36.6,1.0
2010-01-06 06:00:00,43.4,36.5,1.0
2010-01-06 07:00:00,42.6,36.3,1.0
2010-01-06 08:00:00,42.8,36.4,1.0
2010-01-06 09:00:00,46.2,38.0,1.0
2010-01-06 10:00:00,49.7,38.5,1.0
2010-01-06 11:00:00,52.8,38.7,1.0
2010-01-06 12:00:00,55.3,38.5,1.0
2010-01-06 13:00:00,57.5,38.7,1.0
2010-01-06 14:00:00,58.8,38.3,1.0
2010-01-06 15:00:00,59.6,38.3,1.0
2010-01-06 16:00:00,59.5,38.1,1.0
2010-01-06 17:00:00,58.3,38.5,1.0
2010-01-06 18:00:00,55.1,38.1,1.0
2010-01-06 19:00:00,51.5,38.3,1.0
2010-01-06 20:00:00,49.4,38.1,1.0
2010-01-06 21:00:00,48.2,38.0,1.0
2010-01-06 22:00:00,47.2,38.1,1.0
2010-01-06 23:00:00,46.3,37.8,1.0
2010-01-07 00:00:00,46.4,37.5,1.0
2010-01-07 01:00:00,44.8,37.1,1.0
2010-01-07 02:00:00,44.4,36.8,1.0
2010-01-07 03:00:00,44.1,36.9,1.0
2010-01-07 04:00:00,43.6,36.7,1.0
2010-01-07 05:00:00,43.0,36.3,1.0
2010-01-07 06:00:00,43.1,36.2,1.0
2010-01-07 07:00:00,42.3,36.0,1.0
2010-01-07 08:00:00,42.5,36.1,1.0
2010-01-07 09:00:00,45.9,37.6,1.0
2010-01-07 10:00:00,49.5,38.2,1.0
2010-01-07 11:00:00,52.7,38.4,1.0
2010-01-07 12:00:00,55.2,38.2,1.0
2010-01-07 13:00:00,57.4,38.4,1.0
2010-01-07 14:00:00,58.8,38.0,1.0
2010-01-07 15:00:00,59.5,38.0,1.0
2010-01-07 16:00:00,59.5,37.8,1.0
2010-01-07 17:00:00,58.3,38.3,1.0
2010-01-07 18:00:00,55.0,37.9,1.0
2010-01-07 19:00:00,51.4,38.1,1.0
2010-01-07 20:00:00,49.3,37.9,1.0
2010-01-07 21:00:00,48.0,37.9,1.0
2010-01-07 22:00:00,47.0,37.8,1.0
2010-01-07 23:00:00,46.1,37.6,1.0
2010-01-08 00:00:00,46.2,37.2,1.0
2010-01-08 01:00:00,44.6,36.9,1.0
2010-01-08 02:00:00,44.3,36.6,1.0
2010-01-08 03:00:00,43.9,36.6,1.0
2010-01-08 04:00:00,43.4,36.5,1.0
2010-01-08 05:00:00,42.8,36.1,1.0
2010-01-08 06:00:00,42.9,35.9,1.0
2010-01-08 07:00:00,42.1,35.7,1.0
2010-01-08 08:00:00,42.2,35.8,1.0
2010-01-08 09:00:00,45.7,37.5,1.0
2010-01-08 10:00:00,49.3,38.0,1.0
2010-01-08 11:00:00,52.5,38.3,1.0
2010-01-08 12:00:00,55.0,38.1,1.0
2010-01-08 13:00:00,57.2,38.3,1.0
2010-01-08 14:00:00,58.6,38.0,1.0
2010-01-08 15:00:00,59.4,38.1,1.0
2010-01-08 16:00:00,59.4,37.9,1.0
2010-01-08 17:00:00,58.2,38.4,1.0
2010-01-08 18:00:00,55.0,38.0,1.0
2010-01-08 19:00:00,51.4,38.2,1.0
2010-01-08 20:00:00,49.4,38.0,1.0
2010-01-08 21:00:00,48.1,38.0,1.0
2010-01-08 22:00:00,47.1,38.0,1.0
2010-01-08 23:00:00,46.1,37.7,1.0
2010-01-09 00:00:00,46.2,37.5,1.0
2010-01-09 01:00:00,44.7,37.1,1.0
2010-01-09 02:00:00,44.3,36.9,1.0
2010-01-09 03:00:00,43.9,36.9,1.0
2010-01-09 04:00:00,43.4,36.8,1.0
2010-01-09 05:00:00,42.9,36.3,1.0
2010-01-09 06:00:00,43.0,36.2,1.0
2010-01-09 07:00:00,42.3,36.0,1.0
2010-01-09 08:00:00,42.4,36.1,1.0
2010-01-09 09:00:00,45.8,37.8,1.0
2010-01-09 10:00:00,49.3,38.3,1.0
2010-01-09 11:00:00,52.5,38.5,1.0
2010-01-09 12:00:00,55.0,38.3,1.0
2010-01-09 13:00:00,57.1,38.4,1.0
2010-01-09 14:00:00,58.5,38.2,1.0
2010-01-09 15:00:00,59.3,38.3,1.0
2010-01-09 16:00:00,59.2,38.1,1.0
2010-01-09 17:00:00,58.1,38.4,1.0
2010-01-09 18:00:00,54.8,38.0,1.0
2010-01-09 19:00:00,51.3,38.2,1.0
2010-01-09 20:00:00,49.3,38.0,1.0
2010-01-09 21:00:00,48.0,38.0,1.0
2010-01-09 22:00:00,47.0,38.0,1.0
2010-01-09 23:00:00,46.2,37.7,1.0
2010-01-10 00:00:00,46.2,37.4,1.0
2010-01-10 01:00:00,44.7,37.1,1.0
2010-01-10 02:00:00,44.3,36.9,1.0
2010-01-10 03:00:00,43.9,36.8,1.0
2010-01-10 04:00:00,43.4,36.8,1.0
2010-01-10 05:00:00,42.9,36.4,1.0
2010-01-10 06:00:00,43.0,36.3,1.0
2010-01-10 07:00:00,42.3,36.2,1.0
2010-01-10 08:00:00,42.5,36.3,1.0
2010-01-10 09:00:00,45.8,37.9,1.0
2010-01-10 10:00:00,49.3,38.5,1.0
2010-01-10 11:00:00,52.5,38.7,1.0
2010-01-10 12:00:00,55.0,38.4,1.0
2010-01-10 13:00:00,57.1,38.5,1.0
2010-01-10 14:00:00,58.5,38.2,1.0
2010-01-10 15:00:00,59.3,38.3,1.0
2010-01-10 16:00:00,59.3,38.2,1.0
2010-01-10 17:00:00,58.1,38.5,1.0
2010-01-10 18:00:00,54.8,38.1,1.0
2010-01-10 19:00:00,51.3,38.1,1.0
2010-01-10 20:00:00,49.3,37.9,1.0
2010-01-10 21:00:00,47.9,37.8,1.0
2010-01-10 22:00:00,47.0,37.8,1.0
2010-01-10 23:00:00,46.1,37.5,1.0
2010-01-11 00:00:00,46.1,37.2,1.0
2010-01-11 01:00:00,44.7,36.8,1.0
2010-01-11 02:00:00,44.2,36.6,1.0
2010-01-11 03:00:00,43.8,36.6,1.0
2010-01-11 04:00:00,43.4,36.6,1.0
2010-01-11 05:00:00,42.9,36.2,1.0
2010-01-11 06:00:00,42.9,36.2,1.0
2010-01-11 07:00:00,42.3,36.3,1.0
2010-01-11 08:00:00,42.5,36.4,1.0
2010-01-11 09:00:00,45.8,38.0,1.0
2010-01-11 10:00:00,49.2,38.6,1.0
2010-01-11 11:00:00,52.3,38.8,1.0
2010-01-11 12:00:00,54.8,38.6,1.0
2010-01-11 13:00:00,56.8,38.7,1.0
2010-01-11 14:00:00,58.2,38.4,1.0
