Accidents,AccidentRate,Population,Weight
20,0.0001354976930494,147603.98904134522,6.7748846524e-06
38,6.21013300999e-05,611903.1579325852,1.6342455289e-06
17,0.0001203075950652,141304.46203982134,7.0769173567e-06
16,7.8106120413e-05,204849.50366735383,4.8816325258e-06
20,0.0001312108012282,152426.47566187286,6.5605400614e-06
37,8.78015297765e-05,421404.9583663403,2.3730143182e-06
18,8.99801013643e-05,200044.22896922755,4.9988945202e-06
43,0.0001128069873787,381182.06149429455,2.6234183111e-06
46,8.2099632278e-05,560294.8359644567,1.7847746147e-06
63,7.83663735168e-05,803916.2356599862,1.2439106907e-06
42,0.0001005735513428,417604.8219359712,2.3946083653e-06
37,6.11260252129e-05,605306.8209671745,1.6520547354e-06
32,7.64972840976e-05,418315.5046283548,2.390540128e-06
6,4.52186316774e-05,132688.6678659109,7.5364386129e-06
49,6.21995391431e-05,787787.1874135799,1.2693783498e-06
8,6.51399978618e-05,122812.4080840642,8.1424997327e-06
49,5.94187377579e-05,824655.686890768,1.2126273011e-06
17,8.59387573391e-05,197815.28761135068,5.0552210199e-06
51,9.38292285144e-05,543540.6515375881,1.8397887944e-06
61,7.82114740517e-05,779936.7131176546,1.2821553123e-06
23,0.0001241946976345,185193.0914770944,5.3997694623e-06
37,6.56632327644e-05,563481.2427334697,1.7746819666e-06
15,0.0001747747887964,85824.7353825867,1.16516525864e-05
21,9.95790308527e-05,210887.772457421,4.741858612e-06
20,0.0001302865535545,153507.78307004896,6.5143276777e-06
36,9.29685016831e-05,387227.9250309193,2.58245838e-06
22,0.0001156077736563,190298.62183317216,5.2548988025e-06
40,9.89500918846e-05,404244.1925838365,2.4737522971e-06
48,9.18383900928e-05,522657.2455317149,1.9132997936e-06
68,8.63705028328e-05,787305.8251334314,1.2701544534e-06
44,0.0001140418754935,385823.1882767816,2.5918608066e-06
39,6.68348708852e-05,583527.7226305873,1.713714638e-06
32,8.24244737916e-05,388234.20433235343,2.5757648059e-06
12,0.0001126032463874,106568.86355398568,9.3836038656e-06
52,6.43836337916e-05,807658.6694106102,1.2381468036e-06
10,6.55778619189e-05,152490.48546849823,6.5577861918e-06
52,6.04471008488e-05,860256.3112173391,1.162444247e-06
16,6.75692098757e-05,236794.24444099137,4.2230756172e-06
53,9.62261852248e-05,550785.6294639426,1.8155884004e-06
14,7.13359440643e-05,196254.4995181004,5.095424576e-06
38,6.60539828112e-05,575287.0361893277,1.7382627055e-06
21,0.0001736815376951,120910.95161111004,8.270549414e-06
19,7.84276274302e-05,242261.56805393496,4.1277698647e-06
10,8.46577868085e-05,118122.62494661864,8.4657786808e-06
35,8.43719798623e-05,414829.66332084907,2.410627996e-06
23,0.0001237335488144,185883.29697459517,5.3797195136e-06
44,0.0001116656307774,394033.5060454196,2.5378552449e-06
47,8.68166643752e-05,541370.7188383345,1.8471630718e-06
37,9.162044046e-05,403840.0144574379,2.4762281205e-06
51,8.99094625885e-05,567237.2910666883,1.7629306389e-06
39,0.0001060232880273,367843.71363699937,2.7185458468e-06
11,8.20015977653e-05,134143.7276805388,7.4546907059e-06
73,8.81616343908e-05,828024.5767269662,1.2076936217e-06
10,0.0001127535643598,88688.99228843497,1.12753564359e-05
84,0.0001057912592167,794016.4492031327,1.2594197525e-06
10,7.07641596096e-05,141314.4740948175,7.0764159609e-06
51,9.32025823447e-05,547195.1389862392,1.8275016146e-06
59,7.0005672347e-05,842788.8487018704,1.1865368194e-06
61,7.41811215116e-05,822311.6442151344,1.2160839592e-06
47,9.57208769669e-05,491010.9632220763,2.0366144035e-06
9,6.90576541405e-05,130325.88656555516,7.6730726822e-06
64,7.93057331464e-05,807003.4467976657,1.2391520804e-06
17,0.0001580740867454,107544.50871744633,9.2984756909e-06
60,7.48487010833e-05,801617.117352147,1.2474783513e-06
11,9.85239702397e-05,111647.95707316267,8.9567245672e-06
27,7.03005453314e-05,384065.29953215935,2.6037239011e-06
32,5.92538733802e-05,540049.0832839155,1.8516835431e-06
63,8.20119205184e-05,768181.010781252,1.3017765161e-06
13,7.49138880582e-05,173532.57636136335,5.7626067737e-06
45,8.05711021253e-05,558512.901188868,1.7904689361e-06
11,8.74196710266e-05,125829.80318752526,7.9472428206e-06
19,0.0001104433603799,172033.8817528494,5.812808441e-06
20,0.0001268264560113,157695.80440074648,6.3413228005e-06
38,0.0001008708634943,376719.2892340342,2.6544964077e-06
22,9.48136169079e-05,232034.18156028277,4.3097098594e-06
38,0.0001000277878666,379894.43544075073,2.632310207e-06
48,8.76885650324e-05,547391.7834352972,1.8268451048e-06
74,9.3322930107e-05,792945.5270542052,1.2611206771e-06
43,0.0001355494609917,317227.3772643348,3.1523130463e-06
23,0.0001290713965327,178195.94904720652,5.6117998492e-06
13,4.89784613433e-05,265422.7928652211,3.7675739494e-06
12,9.91972011437e-05,120971.15504908226,8.2664334286e-06
34,7.75640762521e-05,438347.2561376561,2.2812963603e-06
16,9.52207468747e-05,168030.6080885218,5.9512966796e-06
7,8.70911277359e-05,80375.58109500367,1.24415896765e-05
34,0.0001046598786829,324861.8327086184,3.0782317259e-06
21,7.1012294245e-05,295723.44089509174,3.3815378211e-06
33,9.73998717218e-05,338809.48112797725,2.9515112642e-06
47,9.18360542047e-05,511781.5699616747,1.9539586001e-06
36,0.0001209645022614,297607.97033004323,3.3601250628e-06
21,8.03560818058e-05,261336.7840748982,3.8264800859e-06
11,6.93931807491e-05,158517.01681980884,6.3084709771e-06
50,8.37179579401e-05,597243.4257863818,1.6743591588e-06
36,8.57181236417e-05,419981.1949975963,2.38105899e-06
1,3.33328330167e-05,30000.45029167008,3.33328330167e-05
61,8.48898949663e-05,718577.8710665753,1.3916376223e-06
47,0.0001265203062505,371481.87032461615,2.6919214095e-06
27,0.0001269000297995,212765.90748370285,4.7000011036e-06
75,9.68064111596e-05,774742.0764967629,1.2907521487e-06
46,6.04579295932e-05,760859.6640579938,1.3143028172e-06
52,9.67366840674e-05,537541.6833984596,1.8603208474e-06
13,0.0001440316619219,90257.93236382386,1.10793586093e-05
31,9.50915226729e-05,326001.7205383393,3.0674684733e-06
21,0.0001020048506925,205872.5625048683,4.8573738425e-06
59,0.0001094933966734,538845.2801035863,1.8558202826e-06
15,0.0002130366208023,70410.42964117503,1.42024413868e-05
47,8.90659758627e-05,527698.7036262468,1.895020763e-06
